English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
arrive,arrivare,/arɾivare/,Before any answer could arrive from Mr.,Prima che potesse arrivare una risposta da parte di Mr.,/prima ke potesse arɾivare ʊna risposta da parte dɪ ɛmmeɛrɾe./,A1,Professional,"A1,Professional",
be,essere,/ɛssere/,How happy we should be!,Come dovremmo essere felici!,/kome dovremmo ɛssere felitʃɪ!/,A1,Professional,"A1,Professional",
bee,ape,/ape/,And it was as sweet as pure dwarf-bee honey.,Ed era dolce come il puro miele delle api nane.,/ed ɛra doltʃe kome il puro mjɛle delle apɪ nane./,A1,Professional,"A1,Professional",
celebrate,festeggiare,/festedʒːare/,The virtues that he celebrates are common values of Indian religions.,Le virtù che egli celebra sono valori comuni alle religioni indiane.,/le virtu ke eʎɪ tʃɛlebra sono valorɪ komunɪ alle relidʒonɪ indjane./,A1,Professional,"A1,Professional",
city,città,/tʃitːa/,The city had entirely vanished.,La città era completamente scomparsa.,/la tʃitːa ɛra kompletamente skomparsa./,A1,Professional,"A1,Professional",
class,classe,/klasse/,There are five classes of offenses.,Esistono cinque classi di reati.,/ezistono tʃinkwe klassɪ dɪ reatɪ./,A1,Professional,"A1,Professional",
cloud,nuvola,/nuvola/,But suddenly the cloud was lifted.,Ma all'improvviso la nube si sollevò.,/ma allimprovvizo la nube sɪ sollevɔ./,A1,Professional,"A1,Professional",
country,Paese,/paeze/,Yours is a glorious country.,Il vostro è un Paese glorioso.,/il vɔstro e ʊn paeze ɡloriozo./,A1,Professional,"A1,Professional",
happen,accadere,/akːadere/,That is as it happens.,Questo è quanto accade.,/kwesto ɛ kwanto akːade./,A1,Professional,"A1,Professional",
hear,sentire,/sentire/,He would scarcely hear me.,Mi sentiva a malapena.,/mɪ sentiva a malapena./,A1,Professional,"A1,Professional",
hometown,città natale,/tʃitːa natale/,He went back to his hometown.,È tornato nella sua città natale.,/e tornato nella sʊa tʃitːa natale./,A1,Professional,"A1,Professional",
include,includere,/inkludere/,This does not include entertaining.,Questo non include l'intrattenimento.,/kwesto non inklude lintratːenimento./,A1,Professional,"A1,Professional",
is,è,/ɛː/,"Come in, whoever it is!","Entrate, chiunque sia!","/entrate, kjunkwe sia!/",A1,Professional,"A1,Professional",
join,unirsi,/ʊnirsɪ/,Would you like to join us?,Volete unirvi a noi?,/volete ʊnirvɪ a noi?/,A1,Professional,"A1,Professional",
let,lasciare che,/laʃare ke/,Let’s be a comfortable couple.,Diventiamo una coppia confortevole.,/diventjamo ʊna kɔpːia konfortevole./,A1,Professional,"A1,Professional",
listen,ascoltare,/askoltare/,Listen to what I say.,Ascoltate quello che vi dico.,/askoltate kwello ke vɪ diko./,A1,Professional,"A1,Professional",
look,sguardo,/zɡwardo/,What shall I look for?,Cosa devo cercare?,/kɔza dɛvo tʃerkare?/,A1,Professional,"A1,Professional",
me,me,/me/,What are they to me!,Cosa sono per me!,/kɔza sono per me!/,A1,Professional,"A1,Professional",
nationality,nazionalità,/natsjonalita/,"Its nationality to you, at least, will be a secret.","La sua nazionalità, almeno per voi, sarà un segreto.","/la sʊa natsjonalita, almeno per voi, saɾa ʊn seɡreto./",A1,Professional,"A1,Professional",
oh,oh,/oː/,Kate has been in bed--oh!,Kate è stata a letto... Oh!,/keɪt̪ e stata a lɛtːo... oː!/,A1,Professional,"A1,Professional",
people,persone,/persone/,What do people have’em for--eh?,"Perché la gente li ha, eh?","/perke la dʒɛnte lɪ a, e?/",A1,Professional,"A1,Professional",
police,polizia,/politsia/,Single police-officers on duty could now tell Mr.,I singoli agenti di polizia in servizio potrebbero ora dire al Sig.,/i siŋɡolɪ adʒɛntɪ dɪ politsia in servitsio potrebːero ora dire al siɡ./,A1,Professional,"A1,Professional",
