"English","Italian","IPA","Tags","Notes"
"Greed","Avidità","a.viˈdi.ta","emotion","A craving or desire considered a root of suffering in Theravada Buddhism."
"Hatred","Odio","ˈɔ.djo","emotion","An intense dislike or aversion, one of the three poisons causing suffering."
"Delusion","Illusione","il.luˈzjo.ne","emotion","Confusion or misunderstanding of reality, leading to suffering."
"Joy","Gioia","ˈdʒɔ.ja","emotion","A pleasant feeling arising from wholesome causes."
"Sadness","Tristezza","trisˈtet.tsa","emotion","An unpleasant feeling associated with loss or suffering."
"Equanimity","Equanimità","ekuaniˈmi.ta","emotion","A neutral state of mind characterized by calmness and balance."
"Attachment","Attaccamento","at.tak.kaˈmen.to","emotion","Clinging to objects or ideas, leading to suffering."
"Aversion","Avversione","av.verˈsjo.ne","emotion","Repulsion or avoidance of unpleasant experiences."
"Ignorance","Ignoranza","iɲ.ɲoˈran.tsa","emotion","Lack of knowledge or awareness, leading to delusion."
"Compassion","Compassione","kom.pasˈsjo.ne","emotion","A feeling of empathy and desire to alleviate others' suffering."
"Faith","Fede","ˈfe.de","emotion","Confidence or trust in the Buddha's teachings."
"Hope","Speranza","speˈran.tsa","emotion","Expectation of positive outcomes based on wholesome causes."
"Fear","Paura","ˈpau.ra","emotion","An unpleasant emotion caused by anticipation of danger."
"Envy","Invidia","inˈvi.dja","emotion","Resentment towards others' success or possessions."
"Pride","Orgoglio","orˈɡoʎ.ʎo","emotion","Excessive self-esteem or arrogance."
"Shame","Vergogna","verˈɡoɲ.ɲa","emotion","A painful feeling arising from perceived wrongdoing."
"Guilt","Senso di colpa","ˈsɛn.so di ˈkol.pa","emotion","Remorse for actions considered wrong."
"Gratitude","Gratitudine","ɡra.ti.tuˈdi.ne","emotion","Thankfulness for benefits received."
"Serenity","Serenità","se.re.niˈta","emotion","A state of peacefulness and calm."
"Anxiety","Ansia","ˈan.sja","emotion","Unease about uncertain outcomes."
"Delight","Delizia","deˈli.t͡sja","emotion","Great pleasure or joy."
"Disgust","Disgusto","diˈɡus.to","emotion","Strong aversion or repulsion."
"Hopefulness","Speranzoso","spe.ranˈtso.zo","emotion","Optimism about the future."
"Resentment","Risentimento","ri.zen.tiˈmen.to","emotion","Bitterness from perceived unfair treatment."
"Contentment","Contentezza","kon.tenˈtet.tsa","emotion","Satisfaction with what one has."
"Indifference","Indifferenza","in.dif.feˈrɛn.tsa","emotion","Lack of strong feeling either way."
"Sympathy","Simpatia","simˈpa.tja","emotion","Feelings of pity and sorrow for others."
"Jealousy","Gelosia","dʒe.loˈzja","emotion","Fear of losing something valuable to another."
"Forgiveness","Perdono","perˈdo.no","emotion","Letting go of resentment towards others."
"Melancholy","Malinconia","ma.linˈko.nja","emotion","A deep, pensive sadness."
"Hope","Speranza","speˈran.tsa","emotion","Expectation of positive change."
"Confusion","Confusione","kon.fuˈzjo.ne","emotion","Lack of clarity or understanding."
"Curiosity","Curiosità","ku.rjo.siˈta","emotion","Desire to learn or know more."
"Admiration","Ammirazione","am.mi.raˈt͡sjo.ne","emotion","Respect and warm approval."
"Loneliness","Solitudine","so.liˈti.du.ne","emotion","Sadness from being alone."
"Relief","Sollievo","solˈlje.vo","emotion","Alleviation of distress or discomfort."
"Hope","Speranza","speˈran.tsa","emotion","Anticipation of positive outcomes."
"Compassion","Compassione","kom.pasˈsjo.ne","emotion","Empathy with others' suffering."
"Enthusiasm","Entusiasmo","en.tuˈzja.zmo","emotion","Intense enjoyment or interest."
"Disappointment","Delusione","de.luˈzjo.ne","emotion","Sadness from unmet expectations."
"Calmness","Calma","ˈkal.ma","emotion","Peaceful state of mind."
"Frustration","Frustrazione","fru.straˈt͡sjo.ne","emotion","Feeling of being upset due to obstacles."
"Grief","Lutto","ˈlut.to","emotion","Deep sorrow, especially for loss."
