English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
appear,apparire,/apːarire/,How miraculous did this appear!,Come è apparso miracoloso!,/kome e apːarso mirakolozo!/,A2,Food,"A2,Food",
apply,applicare,/apːlikare/,Why can’t this apply to Sarakāni?,Perché questo non può valere per Sarakāni?,/perke kwesto non pʊɔ valere per saɾakanɪ?/,A2,Food,"A2,Food",
arrange,organizzare,/orɡanidzːare/,"We shall easily arrange that matter, I hope.",Spero che riusciremo a risolvere facilmente la questione.,/spero ke riʊʃirɛmo a rizolvere fatʃilmente la kwestjone./,A2,Food,"A2,Food",
attempt,tentativo,/tentativo/,This she might not attempt.,Non è detto che non ci provi.,/non e detːo ke non tʃɪ prɔvɪ./,A2,Food,"A2,Food",
avoid,evitare,/evitare/,She must avoid censuring Cecil.,Deve evitare di censurare Cecil.,/dɛve evitare dɪ tʃensʊrare tʃetʃil./,A2,Food,"A2,Food",
bake,infornare,/infornare/,"Grandmother, Grandmother,"" said he, ""your wood is most gone; take this of mine and bake more cakes.","Nonna, nonna"", disse, ""la tua legna è quasi finita; prendi questa mia e fai altre torte.","/nɔnna, nɔnna"", disse, ""la tʊa leɲɲa e kwazɪ finita; prɛndɪ kwesta mia e faːi altre tɔrte./",A2,Food,"A2,Food",
barbecue,barbecue,/(fr)baʁbəky(it)/,I wanted to buy that barbecue.,Volevo comprare quel barbecue.,/volɛvo komprare kwel (fr)baʁbəky(it)./,A2,Food,"A2,Food",
based,basato,/bazato/,On what is it based?,Su cosa si basa?,/sʊ kɔza sɪ baza?/,A2,Food,"A2,Food",
belt,cintura,/tʃintura/,He should give him a belt.,Dovrebbe dargli una cintura.,/dovrɛbːe darʎɪ ʊna tʃintura./,A2,Food,"A2,Food",
board,bordo,/bɔrdo/,"Bow to the board, ” said Bumble.","Inchinatevi al consiglio"", ha detto Bumble.","/inkinatevɪ al konsiʎo"", a detːo bumble./",A2,Food,"A2,Food",
burn,bruciare,/brʊtʃare/,And how does a mendicant burn up?,E come brucia un mendicante?,/e kome brutʃa ʊn mendikante?/,A2,Food,"A2,Food",
cereal,cereali,/tʃerealɪ/,How are the cereals milled?,Come vengono macinati i cereali?,/kome veŋɡono matʃinatɪ i tʃerealɪ?/,A2,Food,"A2,Food",
