"English","Italian","IPA","Tags","Notes"
"Basil","Basilico","baˈziːliko","spice","Aromatic herb used in cooking."
"Parsley","Prezzemolo","pretˈtseːmolo","spice","Commonly used herb for garnish and flavor."
"Oregano","Origano","oˈriɡano","spice","Herb with a warm, aromatic taste."
"Rosemary","Rosmarino","rozmaˈriːno","spice","Fragrant herb used in Mediterranean cuisine."
"Thyme","Timo","ˈtiːmo","spice","Herb with a subtle, dry aroma and slightly minty flavor."
"Sage","Salvia","ˈsalvja","spice","Herb with a strong, earthy flavor."
"Mint","Menta","ˈmɛnta","spice","Refreshing herb used in sweet and savory dishes."
"Dill","Aneto","aˈneːto","spice","Herb with a distinctive taste, used in pickling."
"Coriander","Coriandolo","koˈrjandolo","spice","Culinary herb with a citrusy flavor."
"Cilantro","Coriandolo","koˈrjandolo","spice","Fresh leaves of the coriander plant, used in cooking."
"Chives","Erba cipollina","ˈɛrba tʃipolˈlina","spice","Herb with a mild onion flavor."
"Tarragon","Dragoncello","draɡonˈtʃɛllo","spice","Herb with a distinctive anise-like flavor."
"Bay leaf","Alloro","alˈlɔːro","spice","Aromatic leaf used in cooking for flavor."
"Marjoram","Maggiorana","maddʒoˈraːna","spice","Sweet and mild herb, similar to oregano."
"Savory","Santoreggia","santoˈrɛddʒa","spice","Herb with a peppery flavor, used in cooking."
"Lovage","Levistico","leˈvistiko","spice","Herb with a strong, celery-like flavor."
"Fennel","Finocchio","fiˈnɔkkjo","spice","Vegetable with a sweet, anise-like flavor."
"Caraway","Carvi","ˈkarvi","spice","Seed with a warm, slightly sweet flavor."
"Anise","Anice","ˈaniʧe","spice","Seed with a strong, licorice-like flavor."
"Cumin","Cumino","kuˈmiːno","spice","Seed with a warm, earthy flavor."
"Paprika","Paprika","ˈpaprika","spice","Ground spice made from dried red peppers."
"Black pepper","Pepe nero","ˈpepe ˈneːro","spice","Common spice made from peppercorns."
"White pepper","Pepe bianco","ˈpepe ˈbjaŋko","spice","Pepper made from the seeds of pepper plants."
"Pink pepper","Pepe rosa","ˈpepe ˈrɔːza","spice","Dried berries with a sweet, peppery flavor."
"Green pepper","Pepe verde","ˈpepe ˈverde","spice","Unripe peppercorns, often used in cooking."
"Chili pepper","Peperoncino","peperonˈtʃiːno","spice","Spicy pepper used to add heat to dishes."
"Cayenne pepper","Peperoncino di Cayenna","peperonˈtʃiːno di kaˈjɛnna","spice","Hot pepper used in powdered form for seasoning."
"Szechuan pepper","Pepe di Sichuan","ˈpepe di siˈʃwan","spice","Pepper with a unique, numbing spiciness."
"Long pepper","Pepe lungo","ˈpepe ˈluŋɡo","spice","Pepper with a long, slender shape and spicy flavor."
"Allspice","Pimento","piˈmɛnto","spice","Dried berry with a flavor reminiscent of cloves, nutmeg, and cinnamon."
"Nutmeg","Noce moscata","ˈnoːtʃe mosˈkaːta","spice","Seed with a warm, nutty flavor."
"Mace","Macis","ˈmaːtʃis","spice","Outer covering of the nutmeg seed, with a similar flavor."
"Clove","Chiodo di garofano","ˈkjɔːdo di ɡaˈrofano","spice","Dried flower bud with a strong, aromatic flavor."
"Cinnamon","Cannella","kanˈnɛlla","spice","Bark with a sweet, warm flavor, used in cooking and baking."
"Cassia","Cassia","ˈkasːja","spice","Bark similar to cinnamon, but with a stronger flavor."
"Cardamom","Cardamomo","kardaˈmɔːmo","spice","Seed pod with a strong, unique flavor."
"Ginger","Zenzero","ˈdzɛndzero","spice","Root with a spicy, peppery flavor."
"Turmeric","Curcuma","ˈkurkuma","spice","Root with a warm, bitter flavor, used for coloring and flavoring."
"Galangal","Galingale","ɡaliŋˈɡale","spice","Root with a sharp, citrusy flavor."
"Saffron","Zafferano","dzaffeˈraːno","spice","Expensive spice made from the stigmas of crocus flowers."
"Sumac","Sommacco","somˈmakko","spice","Dried fruit with a tangy, lemony flavor."
"Fenugreek","Fieno greco","ˈfjɛno ˈɡrɛːko","spice","Seed with a sweet, nutty flavor."
"Mustard seed","Senape","ˈsɛːnape","spice","Seed with a pungent, slightly bitter flavor."
"Horseradish","Rafano","ˈrafano","spice","Root with a hot, peppery flavor."
"Wasabi","Wasabi","waˈsabi","spice","Spicy condiment made from wasabi root."
"Curry leaves","Foglie di curry","ˈfoʎʎe di ˈkurri","spice","Leaves with a distinct, aromatic flavor."
"Curry powder","Polvere di curry","ˈpolvere di ˈkurri","spice","Blend of spices used to flavor curry dishes."
"Garlic","Aglio","ˈaʎʎo","spice","Bulb with a strong, pungent flavor."
"Shallot","Scalogno","skaˈloɲɲo","spice","Small onion with a mild, sweet flavor."
"Onion powder","Polvere di cipolla","ˈpolvere di tʃiˈpolla","spice","Ground onion used as a seasoning."
"Celery seed","Semi di sedano","ˈsɛːmi di ˈsɛːdano","spice","Seed with a strong, celery-like flavor."
"Ajwain","Semi di ajwain","adʒˈwan","spice","Seed with a thyme-like flavor."
"Asafoetida","Assafetida","assaˈfɛːtida","spice","Resin with a strong, pungent flavor."
"Black Cumin","Cumino nero","niˈdʒɛlla","spice","Seed with a flavor similar to cumin, but stronger."
"Star anise","Anice stellato","ˈaniʧe stelˈlaːto","spice","Star-shaped spice with a strong, licorice-like flavor."
"Szechuan peppercorn","Pepe di Sichuan","ˈpepe di siˈʃwan","spice","Dried husk of the Szechuan pepper, with a unique flavor."
"Juniper berry","Bacca di ginepro","ˈbakka di dʒiˈnepro","spice","Berry with a sharp, pine-like flavor."
"Mahlab","Mahleb","maˈlɛb","spice","Ground spice made from cherry pits, with a bitter almond flavor."
"Grains of paradise","Grani del paradiso","ˈɡrani del paraˈdizo","spice","Seed with a peppery, citrusy flavor."
"Kaffir lime leaves","Foglie di lime kaffir","ˈfoʎʎe di komˈbava","spice","Leaves with a strong, lime-like flavor."
"Lemongrass","Citronella","tʃitroˈnɛlla","spice","Grass with a strong lemon flavor."
"Lovage seed","Semi di levistico","ˈsɛːmi di leˈvistiko","spice","Seed with a flavor similar to lovage."
"Poppy seed","Semi di papavero","ˈsɛːmi di paˈpavero","spice","Seed with a nutty, slightly sweet flavor."
"Sesame seed","Semi di sesamo","ˈsɛːmi di ˈsɛzamo","spice","Seed with a nutty flavor, used in cooking and baking."
"Fennel seed","Semi di finocchio","ˈsɛːmi di fiˈnɔkkjo","spice","Seed with a sweet, anise-like flavor."
"Pumpkin seed","Semi di zucca","ˈsɛːmi di ˈdzukka","spice","Seed with a mild, nutty flavor."
"Sunflower seed","Semi di girasole","ˈsɛːmi di dʒiraˈzole","spice","Seed with a mild, nutty flavor, used for oil."
"Flaxseed","Semi di lino","ˈsɛːmi di ˈlino","spice","Seed with a nutty flavor, used for oil and in baking."
"Chia seed","Semi di chia","ˈsɛːmi di ˈkia","spice","Seed with a mild, nutty flavor, rich in omega-3 fatty acids."
"Hemp seed","Semi di canapa","ˈsɛːmi di ˈkanapa","spice","Seed with a nutty flavor, used for oil and in baking."
"Pomegranate seed","Semi di melagrana","ˈsɛːmi di melaˈɡrana","spice","Seed with a sweet, tart flavor."
"Tamarind","Tamarindo","tamaˈrindo","spice","Tropical fruit with a sweet and sour taste."
"Amchur","Polvere di mango","ˈpolvere di ˈmaŋɡo","spice","Dried mango powder with a tangy flavor."
"Szechuan pepper leaf","Foglia di pepe di Sichuan","ˈfoʎʎa di ˈpepe di siˈʃwan","spice","Leaf with a unique, citrusy flavor."
"Mugwort","Artemisia","arteˈmiːzja","spice","Herb with a bitter, aromatic flavor."
"Pennyroyal","Menta poleggio","ˈmɛnta poˈleddʒo","spice","Herb with a strong, minty flavor."
"Watercress","Crescione","kreʃˈʃone","spice","Leafy green with a peppery flavor."
"Sorrel","Acetosa","atʃeˈtoːza","spice","Leafy green with a tart, lemony flavor."
"Chervil","Cerfoglio","tʃerˈfɔʎʎo","spice","Herb with a delicate, anise-like flavor."
