English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
backpacking,zaino in spalla,/dzaɪno in spalla/,They were backpacking.,Stavano viaggiando con lo zaino in spalla.,/stavano vjadʒːando kon lo dzaɪno in spalla./,B1,Travel,"B1,Travel",
convey,trasmettere,/trazmetːere/,"Go, some of you, convey him to the Tower.","Andate, alcuni di voi, a portarlo alla Torre.","/andate, alkʊnɪ dɪ voi, a portarlo alla torɾe./",B1,Travel,"B1,Travel",
deprive,privare,/privare/,"Tis honour to deprive dishonoured life; The one will live, the other being dead.","È un onore privare la vita disonorata; l'uno vivrà, l'altro sarà morto.","/e ʊn onore privare la vita dizonorata; luno vivra, laltro saɾa mɔrto./",B1,Travel,"B1,Travel",
diving,immersione,/immersjone/,"That is a diving apparatus, ” said I.","Quello è un apparecchio per le immersioni"", dissi.","/kwello e ʊn apːarekːio per le immersjonɪ"", dissɪ./",B1,Travel,"B1,Travel",
emerge,emergere,/emɛrdʒere/,"Early in the morning, they would emerge from those places.",La mattina presto uscivano da quei luoghi.,/la matːina prɛsto ʊʃivano da kweɪ lʊɔɡɪ./,B1,Travel,"B1,Travel",
expand,espandere,/espandere/,"Some have parallel sides, others taper or expand towards the top.","Alcuni hanno lati paralleli, altri si assottigliano o si espandono verso la parte superiore.","/alkʊnɪ anno latɪ paɾallɛlɪ, altrɪ sɪ assotːiʎano o sɪ espandono vɛrso la parte sʊperiore./",B1,Travel,"B1,Travel",
glance,sguardo,/zɡwardo/,I took in the situation at a glance.,Ho valutato la situazione con uno sguardo d'insieme.,/o valʊtato la sitʊatsione kon uno zɡwardo dinsɪɛme./,B1,Travel,"B1,Travel",
hop,luppolo,/lupːolo/,I have lost my hopes.,Ho perso le mie speranze.,/o pɛrso le mie sperantse./,B1,Travel,"B1,Travel",
jog,jog,/dʒoɡ/,"If you've got a problem with that, you can jog on.","Se per voi è un problema, potete andare avanti.","/se per voi e ʊn problɛma, potete andare avantɪ./",B1,Travel,"B1,Travel",
jogging,jogging,/dʒɔɡiŋ/,Ziri was jogging in the forest.,Ziri stava facendo jogging nella foresta.,/dzirɪ stava fatʃɛndo dʒɔɡiŋ nella forɛsta./,B1,Travel,"B1,Travel",
locate,individuare,/individʊare/,"Although this is only one data point, it does locate the Pārāyanavagga to the south.","Sebbene si tratti di un solo dato, esso localizza il Pārāyanavagga a sud.","/sebːɛne sɪ tratːɪ dɪ ʊn solo dato, esso lokalidzːa il paɾajanavaɡːa a sud./",B1,Travel,"B1,Travel",
mislead,fuorviare,/fʊorviare/,If this goes on it may ultimately mislead us.,"Se si continua così, alla fine si rischia di essere fuorviati.","/se sɪ kontinʊa kozi, alla fine sɪ riskia dɪ ɛssere fʊorviatɪ./",B1,Travel,"B1,Travel",
negotiate,negoziare,/neɡotsjare/,You want to negotiate a loan.,Volete negoziare un prestito.,/volete neɡotsjare ʊn prɛstito./,B1,Travel,"B1,Travel",
owe,dovere,/dovere/,What do I owe you?,Cosa ti devo?,/kɔza tɪ dɛvo?/,B1,Travel,"B1,Travel",
quake,terremoto,/terɾemɔto/,"Lysander, look how I do quake with fear.","Lisandro, guarda come tremo di paura.","/lizandro, ɡwarda kome trɛmo dɪ paʊra./",B1,Travel,"B1,Travel",
stumble,inciampare,/intʃampare/,It grows dark; he may stumble.,Si fa buio; potrebbe inciampare.,/sɪ fa buːjo; potrɛbːe intʃampare./,B1,Travel,"B1,Travel",
thump,tonfo,/tonfo/,"The stationer’s heart begins to thump heavily, for his old apprehensions have never abated.","Il cuore del cartolaio inizia a battere forte, perché le sue vecchie preoccupazioni non si sono mai placate.","/il kʊɔre del kartolaio initsia a batːere fɔrte, perke le sʊe vekːje preokːʊpatsionɪ non sɪ sono maj plakate./",B1,Travel,"B1,Travel",
toss,lancio,/lantʃo/,I will toss the rogue in a blanket.,Getterò la canaglia in una coperta.,/dʒetːeɾɔ la kanaʎa in ʊna kopɛrta./,B1,Travel,"B1,Travel",
translate,tradurre,/tradurɾe/,"With your permission, I will translate.","Con il suo permesso, tradurrò.","/kon il sʊo permesso, tradʊrɾɔ./",B1,Travel,"B1,Travel",
travel,viaggio,/vjadʒːo/,How does it travel about?,Come si sposta?,/kome sɪ spɔsta?/,B1,Travel,"B1,Travel",
tremble,tremare,/tremare/,He trembles and is bewildered.,Trema ed è sconcertato.,/trɛma ed e skontʃertato./,B1,Travel,"B1,Travel",
unfold,non si è mai visto,/non sɪ e maj visto/,Later I shall unfold to you.,Più tardi vi spiegherò.,/pjʊ tardɪ vɪ spjeɡeɾɔ./,B1,Travel,"B1,Travel",
voyage,viaggio,/vjadʒːo/,See the voyages of St.,Si vedano i viaggi di St.,/sɪ vedano i vjadʒːɪ dɪ ɛssetɪ./,B1,Travel,"B1,Travel",
windsurfing,windsurf,/windsʊrf/,It is difficult for beginners to enjoy windsurfing.,Per i principianti è difficile praticare il windsurf.,/per i printʃipjantɪ e diffitʃile pratikare il windsʊrf./,B1,Travel,"B1,Travel",
