English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
banking,bancario,/bankario/,"Her father had not been seen, since he quitted the banking-house towards four o’clock.",Suo padre non era stato visto da quando aveva lasciato la banca verso le quattro.,/sʊo padre non ɛra stato visto da kwando aveva laʃato la banka vɛrso le kwatːro./,A2,Travel,"A2,Travel",
belong,appartenere,/apːartenɛre/,To whom could it belong?,A chi potrebbe appartenere?,/a kɪ potrɛbːe apːartenɛre?/,A2,Travel,"A2,Travel",
climbing,arrampicata,/arɾampikata/,Those who understand Alpine climbing will comprehend our difficulties.,Chi conosce l'alpinismo comprende le nostre difficoltà.,/kɪ konoʃe lalpinizmo komprɛnde le nɔstre diffikolta./,A2,Travel,"A2,Travel",
cruise,crociera,/krotʃɛra/,Sami went on a cruise.,Sami è andato in crociera.,/samɪ e andato in krotʃɛra./,A2,Travel,"A2,Travel",
cycling,ciclismo,/tʃiklizmo/,Poṭṭhapāda is simply cycling through possible self theories without really thinking through the implications.,Poṭṭhapāda sta semplicemente passando in rassegna le possibili teorie del sé senza riflettere realmente sulle implicazioni.,/pi o letːeːraunoeːsɛjd̪iː letːeːraunoeːsɛjd̪iː akːa a pi aːmakron d̪iː a sta semplitʃemente passando in rasseɲɲa le possibilɪ teorie del se sɛntsa rifletːere realmente sʊlle implikatsionɪ./,A2,Travel,"A2,Travel",
earn,guadagnare,/ɡwadaɲare/,How do you earn wealth?,Come si guadagna la ricchezza?,/kome sɪ ɡwadaɲɲa la rikːetsːa?/,A2,Travel,"A2,Travel",
hiking,escursioni,/eskʊrsjonɪ/,They seldom go hiking by themselves.,Raramente fanno escursioni da soli.,/raɾamente fanno eskʊrsjonɪ da sɔlɪ./,A2,Travel,"A2,Travel",
invade,invadere,/invadere/,King Ajātasattu wants to invade the Vajjis.,Il re Ajātasattu vuole invadere i Vajji.,/il rɛ ajatazatːʊ vʊɔle invadere i vadʒdʒɪ./,A2,Travel,"A2,Travel",
lend,Prestare,/prestare/,I will not lend thee a penny.,Non ti presterò un centesimo.,/non tɪ presteɾɔ ʊn tʃentɛzimo./,A2,Travel,"A2,Travel",
petrol,benzina,/bendzɪna/,In the former is a contrivance for regulating the petrol supply.,Il primo è un dispositivo per regolare l'alimentazione della benzina.,/il primo e ʊn dispozitivo per reɡolare lalimentatsione della bendzɪna./,A2,Travel,"A2,Travel",
petrol,benzina,/bendzɪna/,In the former is a contrivance for regulating the petrol supply.,Il primo è un dispositivo per regolare l'alimentazione della benzina.,/il primo e ʊn dispozitivo per reɡolare lalimentatsione della bendzɪna./,A2,Travel,"A2,Travel",
pour,versare,/versare/,Could that person pour water into the jar?,Questa persona può versare l'acqua nel barattolo?,/kwesta persona pʊɔ versare lakːwa nel baɾatːolo?/,A2,Travel,"A2,Travel",
progress,progresso,/proɡrɛsso/,Such was the progress of Mr.,Tale è stato il percorso di Mr.,/tale e stato il perkorso dɪ ɛmmeɛrɾe./,A2,Travel,"A2,Travel",
refer,riferimento,/riferimento/,To whom do you refer?,A chi si riferisce?,/a kɪ sɪ riferiʃe?/,A2,Travel,"A2,Travel",
sailing,vela,/vela/,We are walking—we are sailing—blindly.,"Stiamo camminando, stiamo navigando alla cieca.","/stjamo kamminando, stjamo naviɡando alla tʃɛka./",A2,Travel,"A2,Travel",
sightseeing,visite turistiche,/vizite tʊristike/,↩ Evidently an excursion for sightseeing was popular.,Evidentemente un'escursione per visitare la città era molto apprezzata.,/evidentemente ʊneskʊrsjone per vizitare la tʃitːa ɛra molto apːretsːata./,A2,Travel,"A2,Travel",
skateboarding,skateboard,/skateboard/,Tom is skateboarding inside the half-pipe.,Tom sta facendo skateboard all'interno dell'half-pipe.,/tɔm sta fatʃɛndo skateboard allintɛrno dellhalfpipe./,A2,Travel,"A2,Travel",
skating,pattinaggio,/patːinadʒːo/,"Everybody is so hateful, I'll ask Laurie to go skating.",Sono tutti così odiosi che chiederò a Laurie di andare a pattinare.,/sono tutːɪ kozi odjɔzɪ ke kjedeɾɔ a laʊrie dɪ andare a patːinare./,A2,Travel,"A2,Travel",
skiing,sci,/ʃi/,She is good at skiing.,È brava a sciare.,/e brava a ʃiare./,A2,Travel,"A2,Travel",
snowboarding,snowboard,/znowboard/,Have you ever gone skiing or snowboarding?,Siete mai andati a sciare o a fare snowboard?,/sjete maj andatɪ a ʃiare o a fare znowboard?/,A2,Travel,"A2,Travel",
surfing,navigazione,/naviɡatsione/,The waves were perfect for surfing that day.,Quel giorno le onde erano perfette per fare surf.,/kwel dʒorno le onde ɛrano perfɛtːe per fare surf./,A2,Travel,"A2,Travel",
