English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
absorb,assorbire,/assorbire/,Blackstone did not wholly absorb all my time that winter.,Blackstone non ha assorbito tutto il mio tempo quell'inverno.,/blakːstone non a assorbito tutːo il mio tɛmpo kwellinvɛrno./,B1,Activities,"B1,Activities",
achievement,realizzazione,/realidzːatsione/,And such achievements of high distinction were made known!,E tali risultati di alto livello sono stati resi noti!,/e talɪ rizʊltatɪ dɪ alto livɛllo sono statɪ rezɪ nɔtɪ!/,B1,Activities,"B1,Activities",
aerobics,aerobica,/aerɔbika/,She goes to aerobics once a week.,Va a fare aerobica una volta alla settimana.,/va a fare aerɔbika ʊna vɔlta alla setːimana./,B1,Activities,"B1,Activities",
battle,battaglia,/batːaʎa/,What is his ‘victory in battle’?,"Qual è la sua ""vittoria in battaglia""?","/kwal e la sua ""vitːɔria in batːaʎa""?/",B1,Activities,"B1,Activities",
boxing,pugilato,/pʊdʒilato/,"Midwifery should be taught in the same course with fencing and boxing, riding and rowing.","L'ostetricia dovrebbe essere insegnata nello stesso corso della scherma e del pugilato, dell'equitazione e del canottaggio.","/lostetritʃa dovrɛbːe ɛssere inseɲata nello stesso korso della skerma e del pʊdʒilato, dellekwitatsione e del kanotːadʒːo./",B1,Activities,"B1,Activities",
brainstorming,brainstorming,/braɪnstɔrmiŋɡ/,They had a brainstorming session.,Hanno fatto una sessione di brainstorming.,/anno fatːo ʊna sessjone dɪ braɪnstɔrmiŋɡ./,B1,Activities,"B1,Activities",
ceremony,cerimonia,/tʃerimɔnia/,Today is the invitation ceremony.,Oggi si svolge la cerimonia di invito.,/ɔdʒːɪ sɪ zvoldʒe la tʃerimɔnia dɪ invito./,B1,Activities,"B1,Activities",
check-in,check-in,/tʃɛkːiːn/,"At check-in, please show a picture identification and the document you gave for reference at reservation time.","Al momento del check-in, si prega di mostrare un documento d'identità con foto e il documento fornito come riferimento al momento della prenotazione.","/al momento del tʃɛkːiːn, sɪ prɛɡa dɪ mostrare ʊn dokʊmento didentita kon fɔto e il dokʊmento fornito kome riferimento al momento della prenotatsione./",B1,Activities,"B1,Activities",
check-in,check-in,/tʃɛkːiːn/,"At check-in, please show a picture identification and the document you gave for reference at reservation time.","Al momento del check-in, si prega di mostrare un documento d'identità con foto e il documento fornito come riferimento al momento della prenotazione.","/al momento del tʃɛkːiːn, sɪ prɛɡa dɪ mostrare ʊn dokʊmento didentita kon fɔto e il dokʊmento fornito kome riferimento al momento della prenotatsione./",B1,Activities,"B1,Activities",
delete,cancellare,/kantʃellare/,A good time to delete your own sentence is when you don't understand it yourself.,Un buon momento per cancellare la propria frase è quando non la si capisce.,/ʊn bwɔn momento per kantʃellare la prɔpria fraze e kwando non la sɪ kapiʃe./,B1,Activities,"B1,Activities",
departure,partenza,/partɛntsa/,On board no preparations for departure were visible.,A bordo non si vedevano i preparativi per la partenza.,/a bɔrdo non sɪ vedevano i prepaɾativɪ per la partɛntsa./,B1,Activities,"B1,Activities",
drown,annegare,/anneɡare/,"Alas, then she is drown’d?","Ahimè, allora è annegata?","/aimɛ, allora e anneɡata?/",B1,Activities,"B1,Activities",
enclose,racchiudere,/rakːjudere/,At the last moment I will enclose the MS.,All'ultimo momento allegherò il MS.,/allultimo momento alleɡeɾɔ il ɛmmeɛsse./,B1,Activities,"B1,Activities",
explode,esplodere,/esplɔdere/,"If I did, their head would explode.","Se lo facessi, la loro testa esploderebbe.","/se lo fatʃɛssɪ, la lɔro tɛsta esploderɛbːe./",B1,Activities,"B1,Activities",
fasten,fissare,/fissare/,You should fasten them at the edge.,È necessario fissarli sul bordo.,/e netʃessario fissarlɪ sʊl bɔrdo./,B1,Activities,"B1,Activities",
fetch,recuperare,/rekʊperare/,Shall I go fetch your night-gown?,Vado a prendere la sua camicia da notte?,/vado a prɛndere la sʊa kamitʃa da nɔtːe?/,B1,Activities,"B1,Activities",
funeral,funerale,/fʊnerale/,"The funeral’s tomorrow, ” I said.","Il funerale è domani"", dissi.","/il fʊnerale e domanɪ"", dissɪ./",B1,Activities,"B1,Activities",
