English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
bacteria,batteri,/batːɛrɪ/,These particles usually are the sources of contamination and carry bacteria.,Queste particelle sono solitamente fonti di contaminazione e trasportano batteri.,/kweste partitʃɛlle sono solitamente fontɪ dɪ kontaminatsione e traspɔrtano batːɛrɪ./,B2,Home,"B2,Home",
beagle,beagle,/beaɡle/,He has a foxhound beagle.,Ha un foxhound beagle.,/a ʊn foksoʊnd beaɡle./,B2,Home,"B2,Home",
crater,cratere,/kratɛre/,The Sneffels mountain has many craters.,Il monte Sneffels presenta numerosi crateri.,/il monte zneffels prezɛnta nʊmerozɪ kratɛrɪ./,B2,Home,"B2,Home",
crocodile,coccodrillo,/kokːodrillo/,Did you ever see a crocodile overcome?,Avete mai visto un coccodrillo vincere?,/avete maj visto ʊn kokːodrillo vintʃere?/,B2,Home,"B2,Home",
deer,cervo,/tʃɛrvo/,And who is your deer?,E chi è il tuo cervo?,/e kɪ e il tʊo tʃɛrvo?/,B2,Home,"B2,Home",
intrusion,intrusione,/intrʊzione/,"Nay, Henry might stand between me and the intrusion of my foe.","Anzi, Enrico potrebbe frapporsi tra me e l'intrusione del mio nemico.","/antsɪ, enriko potrɛbːe frapːɔrsɪ tra me e lintrʊzione del mio nemiko./",B2,Home,"B2,Home",
kangaroo,canguro,/kaŋɡuro/,Why did you expect to see Kangaroos in Australia?,Perché si aspettava di vedere i canguri in Australia?,/perke sɪ aspetːava dɪ vedere i kaŋɡurɪ in aʊstralia?/,B2,Home,"B2,Home",
leopard,leopardo,/leopardo/,"The lion, the tiger, and the leopard are entirely without restraint.","Il leone, la tigre e il leopardo sono completamente senza freni.","/il leone, la tiɡre e il leopardo sono kompletamente sɛntsa frenɪ./",B2,Home,"B2,Home",
ling,ling,/liŋɡ/,"A speedier course than ling’ring languishment Must we pursue, and I have found the path.","Dobbiamo seguire un percorso più rapido del languore, e io ho trovato la strada.","/dobːjamo seɡwire ʊn perkorso pjʊ rapido del laŋɡwore, e io o trovato la strada./",B2,Home,"B2,Home",
microbe,microbo,/mikrobo/,Dangerous microbes can be breathed as well as drunk into the human system.,I microbi pericolosi possono essere respirati o bevuti nel sistema umano.,/i mikrobɪ perikolɔzɪ pɔssono ɛssere respiratɪ o bevutɪ nel sistɛma ʊmano./,B2,Home,"B2,Home",
microorganism,microrganismo,/mikrorɡanizmo/,"If martians exist, they would probably be microorganisms.","Se i marziani esistessero, probabilmente sarebbero dei microrganismi.","/se i martsjanɪ ezistessero, probabilmente sarebːero deɪ mikrorɡanizmɪ./",B2,Home,"B2,Home",
owl,gufo,/ɡufo/,For night-owls shriek where mounting larks should sing.,Perché i gufi notturni strillano dove dovrebbero cantare le allodole.,/perke i ɡufɪ notːurnɪ strillano dove dovrebːero kantare le allɔdole./,B2,Home,"B2,Home",
ox,bue,/bue/,Take all and wean it; it may prove an ox.,Prendete tutto e svezzatelo; potrebbe rivelarsi un bue.,/prendete tutːo e zvetsːatelo; potrɛbːe rivelarsɪ ʊn bue./,B2,Home,"B2,Home",
pebble,ciottolo,/tʃɔtːolo/,These are far better than pebbles!,Sono molto meglio dei sassolini!,/sono molto mɛʎo deɪ sassolinɪ!/,B2,Home,"B2,Home",
penguin,pinguino,/piŋɡwino/,In the Arctic there are no penguins.,Nell'Artico non ci sono pinguini.,/nellartiko non tʃɪ sono piŋɡwinɪ./,B2,Home,"B2,Home",
rhinoceros,rinoceronte,/rinotʃeronte/,I suspect that khaggavisāṇa might likewise be a male “horned rhinoceros”.,"Sospetto che khaggavisāṇa possa essere anche un ""rinoceronte cornuto"" maschio.","/sospɛtːo ke kapːa akːa a dʒi dʒi a vu i ɛsse aːmakron letːeːraunoeːkwatːrosɛtːe a pɔssa ɛssere anke un ""rinotʃeronte kornuto"" maskio./",B2,Home,"B2,Home",
sparrow,passero,/passero/,So did he never the sparrow.,Così come non ha mai fatto il passero.,/kozi kome non a maj fatːo il passero./,B2,Home,"B2,Home",
subcontinent,subcontinente,/sʊbkontinɛnte/,Retroflex consonants are commonly found in the languages of the Indian subcontinent.,Le consonanti retroflesse si trovano comunemente nelle lingue del subcontinente indiano.,/le konsonantɪ retroflɛsse sɪ trovano komʊnemente nelle liŋɡwe del sʊbkontinɛnte indjano./,B2,Home,"B2,Home",
tortoiseshell,tartaruga,/tartaruɡa/,I have a tortoiseshell cat.,Ho un gatto tartarugato.,/o ʊn ɡatːo tartarʊɡato./,B2,Home,"B2,Home",
zebra,zebra,/dzɛbra/,Where are the gorillas and zebras?,Dove sono i gorilla e le zebre?,/dove sono i ɡorilla e le dzɛbre?/,B2,Home,"B2,Home",
