English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
addition,aggiunta,/adʒːunta/,There are two additions to the rule.,Ci sono due aggiunte alla regola.,/tʃɪ sono due adʒːunte alla rɛɡola./,A2,Time & Quantity,"A2,Time & Quantity",
advantage,vantaggio,/vantadʒːo/,They have at least that advantage.,Hanno almeno questo vantaggio.,/anno almeno kwesto vantadʒːo./,A2,Time & Quantity,"A2,Time & Quantity",
anniversary,anniversario,/anniversario/,"Is it a birthday, anniversary, or anything?","È un compleanno, un anniversario o altro?","/e ʊn kompleanno, ʊn anniversario o altro?/",A2,Time & Quantity,"A2,Time & Quantity",
basket,cestino,/tʃestino/,"Look, here is a basket.","Guarda, qui c'è un cestino.","/ɡwarda, kwi tʃe ʊn tʃestino./",A2,Time & Quantity,"A2,Time & Quantity",
batch,lotto,/lɔtːo/,Go and see him when he has a good batch.,Andate a trovarlo quando ha una buona partita.,/andate a trovarlo kwando a ʊna bʊɔna partita./,A2,Time & Quantity,"A2,Time & Quantity",
billion,miliardo,/miliardo/,Algeria has invested billions of dollars in infrastructure projects.,L'Algeria ha investito miliardi di dollari in progetti infrastrutturali.,/laldʒeria a investito miliardɪ dɪ dɔllarɪ in prodʒɛtːɪ infrastrʊtːʊralɪ./,A2,Time & Quantity,"A2,Time & Quantity",
bloom,fioritura,/fjoritura/,The legend came into full bloom under the first empire.,La leggenda fiorì sotto il primo impero.,/la ledʒːɛnda fjori sotːo il primo impɛro./,A2,Time & Quantity,"A2,Time & Quantity",
centimeter,centimetro,/tʃentimetro/,I allow tooth cleaners that are at most thirteen centimeters long.,Sono ammessi pulitori di denti lunghi al massimo tredici centimetri.,/sono ammessɪ pʊlitorɪ dɪ dɛntɪ luŋɡɪ al massimo treditʃɪ tʃentimetrɪ./,A2,Time & Quantity,"A2,Time & Quantity",
childhood,infanzia,/infantsia/,"Our being fellow-academics, and friends from childhood up, is security.",Il nostro essere compagni di università e amici fin dall'infanzia è una sicurezza.,/il nɔstro ɛssere kompaɲɲɪ dɪ ʊniversita e amitʃɪ fin dallinfantsia e ʊna sikʊretsːa./,A2,Time & Quantity,"A2,Time & Quantity",
compete,competere,/kompetere/,"Competes with baz, which is more common outside PARC.","È in concorrenza con baz, che è più comune al di fuori del PARC.","/e in konkorɾɛntsa kon bats, ke e pjʊ komune al dɪ fʊorɪ del park./",A2,Time & Quantity,"A2,Time & Quantity",
couple,coppia,/kɔpːia/,Let’s be a comfortable couple.,Diventiamo una coppia confortevole.,/diventjamo ʊna kɔpːia konfortevole./,A2,Time & Quantity,"A2,Time & Quantity",
cycle,ciclo,/tʃiklo/,I will discuss this cycle further below.,Discuterò questo ciclo più avanti.,/diskʊteɾɔ kwesto tʃiklo pjʊ avantɪ./,A2,Time & Quantity,"A2,Time & Quantity",
dam,diga,/diɡa/,"I say, pull like god-dam, ”—cried the Indian.","Dico, tira come Dio comanda"", gridò l'indiano.","/diko, tira kome dio komanda"", ɡridɔ lindjano./",A2,Time & Quantity,"A2,Time & Quantity",
daylight,luce diurna,/lutʃe djurna/,It was getting gray daylight now.,Ormai la luce del giorno si stava facendo grigia.,/ormaɪ la lutʃe del dʒorno sɪ stava fatʃɛndo ɡridʒa./,A2,Time & Quantity,"A2,Time & Quantity",
dead,morto,/mɔrto/,The Brothers are now dead.,I Fratelli sono morti.,/i fratɛllɪ sono mɔrtɪ./,A2,Time & Quantity,"A2,Time & Quantity",
deep,profondo,/profondo/,It doesn’t have deep furrows.,Non ha solchi profondi.,/non a solkɪ profondɪ./,A2,Time & Quantity,"A2,Time & Quantity",
delay,ritardo,/ritardo/,I would not be delay’d.,Non voglio ritardare.,/non voʎo ritardare./,A2,Time & Quantity,"A2,Time & Quantity",
disappear,scomparire,/skomparire/,Had the crew seen me disappear?,L'equipaggio mi aveva visto sparire?,/lekwipadʒːo mɪ aveva visto sparire?/,A2,Time & Quantity,"A2,Time & Quantity",
distance,distanza,/distantsa/,The distance is ten miles.,La distanza è di dieci miglia.,/la distantsa e dɪ djɛtʃɪ miʎa./,A2,Time & Quantity,"A2,Time & Quantity",
exist,esistere,/ezistere/,All exists’: this is one extreme.,"Tutto esiste"": questo è un estremo.","/tutːo eziste"": kwesto ɛ ʊn estrɛmo./",A2,Time & Quantity,"A2,Time & Quantity",
finger,dito,/dito/,The finger still was there.,Il dito era ancora lì.,/il dito ɛra ankora li./,A2,Time & Quantity,"A2,Time & Quantity",
flood,alluvione,/allʊvjone/,These are the four floods.,Queste sono le quattro alluvioni.,/kweste sono le kwatːro allʊvjonɪ./,A2,Time & Quantity,"A2,Time & Quantity",
generation,generazione,/dʒeneratsione/,He has compassion for later generations.,Ha compassione per le generazioni successive.,/a kompassjone per le dʒeneratsionɪ sʊtʃːessive./,A2,Time & Quantity,"A2,Time & Quantity",
inch,pollice,/pɔllitʃe/,"He was, indeed, every inch a king.",Era davvero un re a tutti gli effetti.,/ɛra davvero ʊn rɛ a tutːɪ ʎɪ effɛtːɪ./,A2,Time & Quantity,"A2,Time & Quantity",
increase,aumento,/aʊmento/,"I said: “see, it increases.","Ho detto: ""vedi, aumenta.","/o detːo: ""vedɪ, aʊmenta./",A2,Time & Quantity,"A2,Time & Quantity",
instant,istantaneo,/istantaneo/,Issue was joined in an instant.,La questione si è unita in un istante.,/la kwestjone sɪ e ʊnita in ʊn istante./,A2,Time & Quantity,"A2,Time & Quantity",
kilo,chilo,/kilo/,How heavy are you in kilos?,Quanto pesa in chili?,/kwanto peza in kilɪ?/,A2,Time & Quantity,"A2,Time & Quantity",
kilogram,chilogrammo,/kiloɡrammo/,I have put on two kilograms this summer.,Quest'estate ho messo su due chili.,/kwestestate o messo sʊ due kilɪ./,A2,Time & Quantity,"A2,Time & Quantity",
kilometer,chilometro,/kilometro/,These places are about twenty kilometers apart.,Questi luoghi distano circa venti chilometri l'uno dall'altro.,/kwestɪ lʊɔɡɪ distano tʃirka vɛntɪ kilometrɪ luno dallaltro./,A2,Time & Quantity,"A2,Time & Quantity",
leisure,tempo libero,/tɛmpo libero/,I will attend upon your lordship’s leisure.,Mi occuperò del tempo libero di Vostra Signoria.,/mɪ okːʊpeɾɔ del tɛmpo libero dɪ vɔstra siɲoria./,A2,Time & Quantity,"A2,Time & Quantity",
liberty,libertà,/liberta/,Mightn’t I take the liberty?,Non potrei prendermi la libertà?,/non potrɛi prɛndermɪ la liberta?/,A2,Time & Quantity,"A2,Time & Quantity",
liter,litro,/litro/,This is perhaps roughly equivalent to one liter.,Ciò equivale forse all'incirca a un litro.,/tʃɔ ekwivale forse allintʃirka a ʊn litro./,A2,Time & Quantity,"A2,Time & Quantity",
load,carico,/kariko/,Have you limbs To bear that load of title?,Avete arti Per sopportare il carico del titolo?,/avete artɪ per sopːortare il kariko del titolo?/,A2,Time & Quantity,"A2,Time & Quantity",
lunchtime,ora di pranzo,/ora dɪ praŋdzo/,The shop is also open during lunchtime.,Il negozio è aperto anche a pranzo.,/il neɡɔtsio e apɛrto anke a praŋdzo./,A2,Time & Quantity,"A2,Time & Quantity",
may,può,/pʊɔ/,May be a humble one!,Che sia umile!,/ke sia umile!/,A2,Time & Quantity,"A2,Time & Quantity",
midday,mezzogiorno,/medzːodʒɔrno/,By midday we were at the end of our journey.,A mezzogiorno eravamo alla fine del nostro viaggio.,/a medzːodʒɔrno eravamo alla fine del nɔstro vjadʒːo./,A2,Time & Quantity,"A2,Time & Quantity",
none,nessuno,/nessuno/,We have none of them.,Non abbiamo nessuno di loro.,/non abːjamo nessʊno dɪ lɔro./,A2,Time & Quantity,"A2,Time & Quantity",
noon,mezzogiorno,/medzːodʒɔrno/,It was already past noon.,Era già passato mezzogiorno.,/ɛra dʒa passato medzːodʒɔrno./,A2,Time & Quantity,"A2,Time & Quantity",
nowadays,al giorno d'oggi,/al dʒorno dɔdʒːɪ/,You can buy anything at a drugstore nowadays.,Al giorno d'oggi è possibile acquistare qualsiasi cosa in farmacia.,/al dʒorno dɔdʒːɪ e possibile akːwistare kwalsiazɪ kɔza in farmatʃiːa./,A2,Time & Quantity,"A2,Time & Quantity",
occupation,occupazione,/okːʊpatsione/,Don’t be ruffled by your occupation.,Non lasciatevi turbare dalla vostra occupazione.,/non laʃatevɪ tʊrbare dalla vɔstra okːʊpatsione./,A2,Time & Quantity,"A2,Time & Quantity",
ocean,oceano,/otʃɛano/,The ocean was watched with renewed attention.,L'oceano è stato osservato con rinnovata attenzione.,/lotʃɛano e stato osservato kon rinnovata atːentsione./,A2,Time & Quantity,"A2,Time & Quantity",
pack,pacchetto,/pakːetːo/,I’ll be revenged on the whole pack of you.,Mi vendicherò di tutto il branco.,/mɪ vendikeɾɔ dɪ tutːo il branko./,A2,Time & Quantity,"A2,Time & Quantity",
parking,parcheggio,/parkedʒːo/,Sami was found dead in the underground parking.,Sami è stato trovato morto nel parcheggio sotterraneo.,/samɪ e stato trovato mɔrto nel parkedʒːo sotːerɾaneo./,A2,Time & Quantity,"A2,Time & Quantity",
pence,penny,/pɛnnɪ/,"Eighteen-pence would do it, ’ said Mr.","Diciotto pence basterebbero"", ha detto Mr.","/ditʃɔtːo pɛntʃe basterebːero"", a detːo ɛmmeɛrɾe./",A2,Time & Quantity,"A2,Time & Quantity",
penny,centesimo,/tʃentɛzimo/,I will not lend thee a penny.,Non ti presterò un centesimo.,/non tɪ presteɾɔ ʊn tʃentɛzimo./,A2,Time & Quantity,"A2,Time & Quantity",
pile,pila,/pila/,Suppose there was a burning pile of twigs.,Supponiamo che ci sia un mucchio di ramoscelli in fiamme.,/sʊpːonjamo ke tʃɪ sia ʊn mukːio dɪ ramoʃɛllɪ in fjamme./,A2,Time & Quantity,"A2,Time & Quantity",
plenty,abbondanza,/abːondantsa/,I have plenty to do.,Ho molto da fare.,/o molto da fare./,A2,Time & Quantity,"A2,Time & Quantity",
population,popolazione,/popolatsione/,"(See Hume’s Essay, and Malthus on population, i.","(Si veda il Saggio di Hume, e Malthus sulla popolazione, i.","/(sɪ veda il sadʒːo dɪ ume, e maltʊs sʊlla popolatsione, i./",A2,Time & Quantity,"A2,Time & Quantity",
recent,recente,/retʃɛnte/,The etymology has been condemned by recent scholars.,L'etimologia è stata condannata da studiosi recenti.,/letimolodʒia e stata kondannata da stʊdjɔzɪ retʃɛntɪ./,A2,Time & Quantity,"A2,Time & Quantity",
region,regione,/redʒone/,In what region are we wandering?,In quale regione stiamo vagando?,/in kwale redʒone stjamo vaɡando?/,A2,Time & Quantity,"A2,Time & Quantity",
season,stagione,/stadʒone/,They were handsomer each season.,Ogni stagione erano più belli.,/oɲɲɪ stadʒone ɛrano pjʊ bɛllɪ./,A2,Time & Quantity,"A2,Time & Quantity",
semester,semestre,/semɛstre/,She is working hard this semester.,Sta lavorando sodo in questo semestre.,/sta lavorando sɔdo in kwesto semɛstre./,A2,Time & Quantity,"A2,Time & Quantity",
single,singolo,/siŋɡolo/,That single thought is enough.,Questo singolo pensiero è sufficiente.,/kwesto siŋɡolo pensiɛro e sʊffitʃɛnte./,A2,Time & Quantity,"A2,Time & Quantity",
splash,schizzo,/skitsːo/,"The next, a loud splash announced that my brave Queequeg had dived to the rescue.","L'attimo dopo, un forte spruzzo annunciò che il mio coraggioso Queequeg si era tuffato in soccorso.","/latːimo dopo, ʊn fɔrte sprutsːo annʊntʃɔ ke il mio koradʒːozo kweekweɡ sɪ ɛra tʊffato in sokːorso./",A2,Time & Quantity,"A2,Time & Quantity",
spoon,cucchiaio,/kʊkːjaio/,"The fourth, ‘Who has been meddling with my spoon?","Il quarto: ""Chi si è intromesso nel mio cucchiaio?","/il kwarto: ""kɪ sɪ e intromesso nel mio kʊkːjaio?/",A2,Time & Quantity,"A2,Time & Quantity",
