English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accident,incidente,/intʃidɛnte/,We do not suffer by accident.,Non soffriamo per caso.,/non soffriamo per kazo./,A2,Activities,"A2,Activities",
badminton,badminton,/badminton/,Mary said she saw Tom playing badminton with John.,Mary dice di aver visto Tom giocare a badminton con John.,/mɛːɾɪ ditʃe dɪ avɛr visto tɔm dʒokare a badminton kon dʒɔn./,A2,Activities,"A2,Activities",
camping,campeggio,/kampedʒːo/,"Camping in Kabylie, Algeria, is my passion.","Il campeggio in Kabylie, Algeria, è la mia passione.","/il kampedʒːo in kabilie, aldʒeria, e la mia passjone./",A2,Activities,"A2,Activities",
chess,scacchi,/skakːɪ/,"All this wasteful, wanton chess-playing IS very strange.","Tutto questo spreco, questo gioco di scacchi è molto strano.","/tutːo kwesto sprɛko, kwesto dʒɔko dɪ skakːɪ e molto strano./",A2,Activities,"A2,Activities",
communicate,comunicare,/komʊnikare/,"Have you anything new to communicate, officer?","Ha qualcosa di nuovo da comunicare, agente?","/a kwalkɔza dɪ nʊɔvo da komʊnikare, adʒɛnte?/",A2,Activities,"A2,Activities",
crime,crimine,/krimine/,Had he committed any crime?,Aveva commesso qualche reato?,/aveva kommesso kwalke reato?/,A2,Activities,"A2,Activities",
dust,polvere,/polvere/,"There was dust, I believe.","C'era polvere, credo.","/tʃɛra polvere, krɛdo./",A2,Activities,"A2,Activities",
effort,sforzo,/sfɔrtso/,These are the four efforts.,Questi sono i quattro sforzi.,/kwestɪ sono i kwatːro sfɔrtsɪ./,A2,Activities,"A2,Activities",
entertainment,intrattenimento,/intratːenimento/,Have a care of your entertainments.,Occupatevi dei vostri intrattenimenti.,/okːʊpatevɪ deɪ vɔstrɪ intratːenimentɪ./,A2,Activities,"A2,Activities",
golf,golf,/ɡɔlf/,"Mary is playing golf, isn't she?","Mary sta giocando a golf, vero?","/mɛːɾɪ sta dʒokando a ɡɔlf, vero?/",A2,Activities,"A2,Activities",
hockey,hockey,/okːeɪ/,I wanted to play hockey.,Volevo giocare a hockey.,/volɛvo dʒokare a okːeɪ./,A2,Activities,"A2,Activities",
hug,abbraccio,/abːratʃːo/,"Is slain in a war with the Hugs, Franks, and Frisians combined.","Viene ucciso in una guerra con gli Abbracci, i Franchi e i Frisoni messi insieme.","/vjɛne ʊtʃːizo in ʊna ɡwɛrɾa kon ʎɪ abːratʃːɪ, i frankɪ e i frizonɪ messɪ insɪɛme./",A2,Activities,"A2,Activities",
leather,pelle,/pɛlle/,It is generally faced with leather.,In genere è rivestito in pelle.,/in dʒɛnere e rivestito in pɛlle./,A2,Activities,"A2,Activities",
photography,fotografia,/fotoɡrafia/,Sami has a photography website.,Sami ha un sito web di fotografia.,/samɪ a ʊn sito wɛb dɪ fotoɡrafia./,A2,Activities,"A2,Activities",
robbery,rapina,/rapina/,Did your client commit the robbery?,Il suo cliente ha commesso la rapina?,/il sʊo kliɛnte a kommesso la rapina?/,A2,Activities,"A2,Activities",
rugby,rugby,/raɡbɪ/,"Rugby, come to the court with me.","Rugby, vieni in tribunale con me.","/raɡbɪ, vjɛnɪ in tribʊnale kon me./",A2,Activities,"A2,Activities",
schoolwork,compiti scolastici,/kompitɪ skolastitʃɪ/,My cousin is so steeped in schoolwork that his friends call him bookworm.,Mio cugino è talmente immerso nei compiti scolastici che i suoi amici lo chiamano topo di biblioteca.,/mio kʊdʒino e talmente immɛrso nei kompitɪ skolastitʃɪ ke i sʊɔi amitʃɪ lo kjamano tɔpo dɪ bibliotɛka./,A2,Activities,"A2,Activities",
tourism,turismo,/tʊrizmo/,We have mass tourism in France.,In Francia abbiamo un turismo di massa.,/in frantʃa abːjamo ʊn tʊrizmo dɪ massa./,A2,Activities,"A2,Activities",
washing-up,lavaggio,/lavadʒːo/,Mary doesn't let me do the washing-up because she thinks I waste too much water.,Mary non mi lascia lavare i piatti perché pensa che sprechi troppa acqua.,/mɛːɾɪ non mɪ laʃa lavare i pjatːɪ perke pɛnsa ke sprɛkɪ trɔpːa akːwa./,A2,Activities,"A2,Activities",
