English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
apple,mela,/mɛla/,Give the general composition of apples?,Indicare la composizione generale delle mele.,/indikare la kompozitsione dʒenerale delle mɛle./,A1,Food,"A1,Food",
banana,banana,/banana/,For what core could there be in a banana tree?,Perché quale nocciolo può esserci in un albero di banane?,/perke kwale notʃːɔlo pʊɔ ɛssertʃɪ in ʊn albero dɪ banane?/,A1,Food,"A1,Food",
bean,fagiolo,/fadʒɔlo/,Give the general composition of beans.,Indicare la composizione generale dei fagioli.,/indikare la kompozitsione dʒenerale deɪ fadʒɔlɪ./,A1,Food,"A1,Food",
beer,birra,/birɾa/,There’ll be beer to feth.,Ci sarà birra a fiumi.,/tʃɪ saɾa birɾa a fjumɪ./,A1,Food,"A1,Food",
biscuit,biscotto,/biskɔtːo/,Such a filter is usually made of porcelain or biscuit china.,Questo tipo di filtro è solitamente realizzato in porcellana o biscuit china.,/kwesto tipo dɪ filtro e solitamente realidzːato in portʃellana o biskuit kina./,A1,Food,"A1,Food",
board,bordo,/bɔrdo/,"Bow to the board, ” said Bumble.","Inchinatevi al consiglio"", ha detto Bumble.","/inkinatevɪ al konsiʎo"", a detːo bumble./",A1,Food,"A1,Food",
bored,annoiato,/annoiato/,You must be very much bored here?,Deve annoiarsi molto qui?,/dɛve annoiarsɪ molto kwi?/,A1,Food,"A1,Food",
boring,noioso,/noiozo/,I do hope Florence isn’t boring you.,Spero che Florence non ti stia annoiando.,/spero ke florɛntʃe non tɪ stia annoiando./,A1,Food,"A1,Food",
bread,pane,/pane/,"Shall we have some bread, dear?","Mangiamo un po' di pane, cara?","/mandʒamo ʊn po dɪ pane, kaɾa?/",A1,Food,"A1,Food",
breakfast,colazione,/kolatsione/,This is my frugal breakfast.,Questa è la mia colazione frugale.,/kwesta ɛ la mia kolatsione frʊɡale./,A1,Food,"A1,Food",
bring,portare,/portare/,He shall bring it down.,Lo abbatterà.,/lo abːatːeɾa./,A1,Food,"A1,Food",
build,costruire,/kostrʊire/,I want to build a shelter.,Voglio costruire un rifugio.,/voʎo kostrʊire ʊn rifudʒo./,A1,Food,"A1,Food",
building,edificio,/edifitʃo/,It is called a sugarcane building.,"Si chiama ""edificio della canna da zucchero"".","/sɪ kjama ""edifitʃo della kanna da dzukːeɾo""./",A1,Food,"A1,Food",
cake,torta,/tɔrta/,Could you spare me some of your cake?,Potresti darmi un po' della tua torta?,/potrɛstɪ darmɪ ʊn po della tʊa tɔrta?/,A1,Food,"A1,Food",
candy,caramelle,/kaɾamɛlle/,What are some of the impurities in candy?,Quali sono alcune delle impurità presenti nelle caramelle?,/kwalɪ sono alkʊne delle impʊrita prezɛntɪ nelle kaɾamɛlle?/,A1,Food,"A1,Food",
carrot,carota,/karɔta/,How do carrots differ in composition from potatoes?,In che modo le carote differiscono per composizione dalle patate?,/in ke mɔdo le karɔte differiskono per kompozitsione dalle patate?/,A1,Food,"A1,Food",
carry,trasportare,/trasportare/,How does he carry himself?,Come si comporta?,/kome sɪ kompɔrta?/,A1,Food,"A1,Food",
centre,centro,/tʃɛntro/,The pulpit is in the centre.,Il pulpito è al centro.,/il pulpito e al tʃɛntro./,A1,Food,"A1,Food",
cheese,formaggio,/formadʒːo/,Take this cheese to Mr.,Portate questo formaggio al Sig.,/portate kwesto formadʒːo al siɡ./,A1,Food,"A1,Food",
chocolate,cioccolato,/tʃokːolato/,From what are cocoa and chocolate obtained?,Da cosa si ottengono il cacao e il cioccolato?,/da kɔza sɪ otːeŋɡono il kakao e il tʃokːolato?/,A1,Food,"A1,Food",
coffee,caffè,/kaffɛ/,"There may be, in the coffee-room.","Potrebbe esserci, nella sala del caffè.","/potrɛbːe ɛssertʃɪ, nella sala del kaffɛ./",A1,Food,"A1,Food",
coke,coca cola,/kɔkakola/,The labour of feeding the retorts with coal and removing the coke is exceedingly severe.,Il lavoro di alimentazione delle storte con carbone e di rimozione del coke è estremamente gravoso.,/il lavɔro dɪ alimentatsione delle stɔrte kon karbone e dɪ rimotsione del koke e estremamente ɡravozo./,A1,Food,"A1,Food",
color,colore,/kolore/,Mud-color: watery is what is meant.,Colore del fango: si intende acquoso.,/kolore del faŋɡo: sɪ intɛnde akːwozo./,A1,Food,"A1,Food",
colour,colore,/kolore/,What colour is it of?,Di che colore è?,/dɪ ke kolore ɛː?/,A1,Food,"A1,Food",
cooking,cottura,/kotːura/,How does cooking affect the cellulose of foods?,In che modo la cottura influisce sulla cellulosa degli alimenti?,/in ke mɔdo la kotːura inflʊiʃe sʊlla tʃellʊloza deʎɪ alimentɪ?/,A1,Food,"A1,Food",
