 "Term","English Translation / Explanation","Example Sentence (Italian)","Example Sentence (English)","Tags"
 "a","to/at (simple preposition)","Vado a scuola.","I go to school.","A1-Stage5-Prepositions"
 "in","in (simple preposition)","Vivo in Italia.","I live in Italy.","A1-Stage5-Prepositions"
 "di","of/from (simple preposition)","Il libro di Maria.","Maria's book.","A1-Stage5-Prepositions"
 "da","from/since/by (simple preposition)","Vengo da Roma.","I come from Rome.","A1-Stage5-Prepositions"
 "con","with (simple preposition)","Esco con gli amici.","I go out with friends.","A1-Stage5-Prepositions"
 "su","on/about (simple preposition)","Il gatto è sul tavolo.","The cat is on the table.","A1-Stage5-Prepositions"
 "per","for/in order to (simple preposition)","Questo regalo è per te.","This gift is for you.","A1-Stage5-Prepositions"
 "tra","fra,between/among/in (time) (simple prepositions)","La scuola è tra il parco e la piazza.","The school is between the park and the square.","A1-Stage5-Prepositions"
 "accanto a","next to","Babbo Natale è accanto al camino.","Santa Claus is next to the fireplace.","A1-Stage5-Prepositions"
 "davanti a","in front of","C'è una panchina davanti alla casa.","There is a bench in front of the house.","A1-Stage5-Prepositions"
 "dietro a","behind","Il giardino è dietro alla casa.","The garden is behind the house.","A1-Stage5-Prepositions"
 "vicino a","near/close to","Abito vicino alla stazione.","I live near the station.","A1-Stage5-Prepositions"
 "sopra","above/on top of","La lampada è sopra il tavolo.","The lamp is above the table.","A1-Stage5-Prepositions"
 "sotto","under/below","Il gatto è sotto la sedia.","The cat is under the chair.","A1-Stage5-Prepositions"
 "c’è","there is","C’è un gatto in giardino.","There is a cat in the garden.","A1-Stage5-Expressions"
 "ci sono","there are","In città ci sono molti musei.","In the city there are many museums.","A1-Stage5-Expressions"
 "avere fame","to be hungry","Ho fame.","I am hungry.","A1-Stage5-Expressions"
 "avere sete","to be thirsty","Hai sete?","Are you thirsty?","A1-Stage5-Expressions"
 "avere sonno","to be sleepy","Abbiamo sonno.","We are sleepy.","A1-Stage5-Expressions"
 "avere freddo","to be cold","Ho freddo.","I am cold.","A1-Stage5-Expressions"
 "avere caldo","to be hot","Loro hanno caldo.","They are hot.","A1-Stage5-Expressions"
 "fare una passeggiata","to take a walk","Facciamo una passeggiata al parco.","We take a walk in the park.","A1-Stage5-Expressions"
 "fare la spesa","to go shopping (for groceries)","Faccio la spesa il sabato.","I do the grocery shopping on Saturdays.","A1-Stage5-Expressions"
 "fare colazione","to have breakfast","Faccio colazione alle otto.","I have breakfast at eight.","A1-Stage5-Expressions"
 "fare una foto","to take a picture","Facciamo una foto insieme.","Let’s take a picture together.","A1-Stage5-Expressions"
 "andare a piedi","to go on foot","Vado a scuola a piedi.","I go to school on foot.","A1-Stage5-Expressions"
 "andare in macchina","to go by car","Andiamo in macchina.","We go by car.","A1-Stage5-Expressions"
 "andare in treno","to go by train","Andiamo in treno.","We go by train.","A1-Stage5-Expressions"
 "essere in ritardo","to be late","Sono in ritardo.","I am late.","A1-Stage5-Expressions"
 "essere pronto/pronta","to be ready","Siamo pronti per partire.","We are ready to leave.","A1-Stage5-Expressions"
 "essere d’accordo","to agree","Siamo d’accordo sul prezzo.","We agree on the price.","A1-Stage5-Expressions"
 "essere felice","to be happy","Sono felice di vederti.","I am happy to see you.","A1-Stage5-Expressions"
