"Term","English Translation","Explanation","Example Sentence (Italian)","Example Sentence (English)","Tags"
"Lei","you","formal subject pronoun","Lei è molto gentile.","You are very kind.","A1-Stage7-Formal"
"Come si chiama?","What is your name?","formal","Come si chiama, signora?","What is your name, madam?","A1-Stage7-Formal"
"Piacere","pleased to meet you","","Piacere, sono Marco.","Pleased to meet you, I’m Marco.","A1-Stage7-Politeness"
"Per favore","please","","Un caffè, per favore.","A coffee, please.","A1-Stage7-Politeness"
"Grazie","thank you","","Grazie per l’aiuto.","Thank you for the help.","A1-Stage7-Politeness"
"Prego","you’re welcome","","Prego, è stato un piacere.","You’re welcome, it was a pleasure.","A1-Stage7-Politeness"
"Scusi","excuse me","formal","Scusi, dov’è il bagno?","Excuse me, where is the bathroom?","A1-Stage7-Politeness"
"Mi dispiace","I’m sorry","","Mi dispiace per il ritardo.","I’m sorry for being late.","A1-Stage7-Politeness"
"Va bene","okay/that’s fine","","Va bene, ci vediamo domani.","Okay, see you tomorrow.","A1-Stage7-Everyday"
"Non importa","it doesn’t matter","","Non importa, posso aspettare.","It doesn’t matter, I can wait.","A1-Stage7-Everyday"
"D’accordo","agreed/okay","","Siamo d’accordo sul prezzo.","We agree on the price.","A1-Stage7-Everyday"
"Come va?","How’s it going?","","Ciao, come va?","Hi, how’s it going?","A1-Stage7-Everyday"
"Come stai?","How are you?","informal","Come stai oggi?","How are you today?","A1-Stage7-Everyday"
"Sto bene","I’m well","","Sto bene, grazie.","I’m well, thanks.","A1-Stage7-Everyday"
"Sto male","I’m unwell","","Sto male oggi.","I’m unwell today.","A1-Stage7-Everyday"
"Cos’è questo?","What is this?","","Cos’è questo?","What is this?","A1-Stage7-Everyday"
"Quanto costa?","How much does it cost?","","Quanto costa questa maglietta?","How much does this T-shirt cost?","A1-Stage7-Shopping"
"Vorrei","I would like","","Vorrei un panino.","I would like a sandwich.","A1-Stage7-Shopping"
"Posso avere","Can I have","","Posso avere un bicchiere d’acqua?","Can I have a glass of water?","A1-Stage7-Shopping"
"Ce l’ha…?","Do you have…?","formal","Ce l’ha in un’altra misura?","Do you have it in another size?","A1-Stage7-Shopping"
"Il conto, per favore","The bill, please","","Il conto, per favore.","The bill, please.","A1-Stage7-Shopping"
"Aiuto!","Help!","","Aiuto! C’è un incendio!","Help! There’s a fire!","A1-Stage7-Emergency"
"Chiamate un dottore!","Call a doctor!","","Chiamate un dottore, per favore!","Call a doctor, please!","A1-Stage7-Emergency"
"Dov’è il bagno?","Where is the bathroom?","","Scusi, dov’è il bagno?","Excuse me, where is the bathroom?","A1-Stage7-Travel"
"Dove si trova…?","Where is…?","formal","Dove si trova la stazione?","Where is the station?","A1-Stage7-Travel"
"A destra","to the right","","Gira a destra.","Turn right.","A1-Stage7-Travel"
"A sinistra","to the left","","Gira a sinistra.","Turn left.","A1-Stage7-Travel"
"Dritto","straight ahead","","Continua dritto.","Continue straight ahead.","A1-Stage7-Travel"
"All’angolo","on the corner","","La farmacia è all’angolo.","The pharmacy is on the corner.","A1-Stage7-Travel"
"Vicino","near","","La banca è vicino alla piazza.","The bank is near the square.","A1-Stage7-Travel"
"Lontano","far","","Il supermercato è lontano da qui.","The supermarket is far from here.","A1-Stage7-Travel"
