"Term","English Translation / Explanation","Example Sentence (Italian)","Example Sentence (English)","Tags"
"aggettivi dopo il nome","adjectives usually follow the noun","Una casa grande.","A big house.","A1-Stage3-Position"
"aggettivi prima del nome","some common adjectives can precede the noun","Un bel film / una brava persona.","A good/nice film / a good person.","A1-Stage3-Position"
"-o → -a → -i → -e","agreement pattern for -o adjectives","Il ragazzo alto; La ragazza alta; I ragazzi alti; Le ragazze alte.","The tall boy; The tall girl; The tall boys; The tall girls.","A1-Stage3-Agreement"
"-e → -i","agreement pattern for -e adjectives","Un libro interessante; Libri interessanti.","An interesting book; Interesting books.","A1-Stage3-Agreement"
"invariabili (rosa/blu/viola)","invariable color adjectives","Una camicia rosa; Due camicie rosa.","A pink shirt; Two pink shirts.","A1-Stage3-Invariable"
"bello","nice/beautiful (agreement)","Un bel libro; Una bella casa; Bei libri; Belle case.","A nice book; A nice house; Nice books; Nice houses.","A1-Stage3-CommonAdjectives"
"buono","good (quality/food) (agreement)","Un buon caffè; Una buona idea; Buoni amici; Buone idee.","A good coffee; A good idea; Good friends; Good ideas.","A1-Stage3-CommonAdjectives"
"grande","big/large (often before/after noun)","Una grande città; Una città grande.","A big city.","A1-Stage3-CommonAdjectives"
"piccolo","small","Un piccolo problema; Una stanza piccola.","A small problem; A small room.","A1-Stage3-CommonAdjectives"
"nuovo","new","Una macchina nuova.","A new car.","A1-Stage3-CommonAdjectives"
"vecchio","old","Un vecchio amico.","An old friend.","A1-Stage3-CommonAdjectives"
"alto","tall","Una torre alta.","A tall tower.","A1-Stage3-CommonAdjectives"
"basso","short/low","Un tavolo basso.","A low table.","A1-Stage3-CommonAdjectives"
"facile","easy","Esercizi facili.","Easy exercises.","A1-Stage3-CommonAdjectives"
"difficile","difficult","Una domanda difficile.","A difficult question.","A1-Stage3-CommonAdjectives"
"caro","expensive/dear (contextual)","Un ristorante caro.","An expensive restaurant.","A1-Stage3-CommonAdjectives"
"economico","cheap/inexpensive","Un hotel economico.","An inexpensive hotel.","A1-Stage3-CommonAdjectives"
"italiano/italiana","Italian (nationality adj.)","Un ristorante italiano; Una studentessa italiana.","An Italian restaurant; An Italian student.","A1-Stage3-Nationalities"
"francese","French (invariable in gender, -e → -i plural)","Un film francese; Due film francesi.","A French film; Two French films.","A1-Stage3-Nationalities"
"colori (rossa/rosso/rosse/rossi)","colors agree (except invariables)","Una mela rossa; Due mele rosse.","A red apple; Two red apples.","A1-Stage3-Colors"
"molto (agg.)","much/many (adjective agrees)","Molti libri; Molta acqua.","Many books; Much water.","A1-Stage3-Quantifiers"
"molto (avv.)","very/a lot (adverb – invariable)","È molto bello.","It is very beautiful.","A1-Stage3-Quantifiers"
"poco (agg.)","few/little (adjective agrees)","Pochi compiti; Poca pazienza.","Few assignments; Little patience.","A1-Stage3-Quantifiers"
"troppo (agg.)","too much/too many (adjective agrees)","Troppa gente; Troppi errori.","Too many people; Too many mistakes.","A1-Stage3-Quantifiers"
"questo/quella (ripasso)","this/that as adjectives agree","Questa strada è lunga; Quelle strade sono lunghe.","This street is long; Those streets are long.","A1-Stage3-Agreement"
"mio/mia/miei/mie","possessive my (+ definite article)","Il mio libro; La mia casa; I miei amici; Le mie chiavi.","My book; My house; My friends; My keys.","A1-Stage3-Possessives"
"suo/sua/suoi/sue","possessive his/her (+ definite article)","Il suo lavoro; Le sue idee.","His/Her job; His/Her ideas.","A1-Stage3-Possessives"
"nostro/vostro","lpl. possessives (+ definite article)","Il nostro gatto; I vostri progetti.","Our cat; Your (pl.) projects.","A1-Stage3-Possessives"
"loro","possessive their (invariable; keeps article)","La loro macchina; I loro figli.","Their car; Their children.","A1-Stage3-Possessives"
"famiglia al singolare (senza articolo)","no article with singular close family (except loro)","Mia madre; Mio padre; Tua sorella.","My mother; My father; Your sister.","A1-Stage3-Possessives"
