"Term","English Translation","Explanation","Example Sentence Italian","Example Sentence English","Tags"
"il","the","masculine singular definite article","Il libro è nuovo.","The book is new.","A1-Stage2-Articles"
"lo","the","masculine singular definite article before s+consonant, z, ps, gn, y","Lo studente è gentile.","The student is kind.","A1-Stage2-Articles"
"l’","the","masculine or feminine singular definite article before vowel","L’amico è simpatico.","The friend is nice.","A1-Stage2-Articles"
"la","the","feminine singular definite article","La casa è grande.","The house is big.","A1-Stage2-Articles"
"i","the","masculine plural definite article","I libri sono interessanti.","The books are interesting.","A1-Stage2-Articles"
"gli","the","masculine plural definite article before vowels, s+consonant, z, ps, gn, y","Gli studenti sono bravi.","The students are good.","A1-Stage2-Articles"
"le","the","feminine plural definite article","Le case sono grandi.","The houses are big.","A1-Stage2-Articles"
"un","a/an","masculine singular","Ho un cane.","I have a dog.","A1-Stage2-Articles"
"uno","a/an","masculine singular before s+consonant, z, ps, gn, y","Ho uno zaino.","I have a backpack.","A1-Stage2-Articles"
"un’","a/an","feminine singular before vowel","Ho un’amica italiana.","I have an Italian friend.","A1-Stage2-Articles"
"una","a/an","feminine singular","Ho una penna.","I have a pen.","A1-Stage2-Articles"
"ragazzo","boy","Il ragazzo gioca a calcio.","The boy plays soccer.","A1-Stage2-Nouns"
"ragazza","girl","La ragazza studia.","The girl studies.","A1-Stage2-Nouns"
"libro","book","Il libro è sul tavolo.","The book is on the table.","A1-Stage2-Nouns"
"casa","house","La casa è in campagna.","The house is in the countryside.","A1-Stage2-Nouns"
"plurale","plural form of a word","Le parole italiane hanno plurali regolari.","Italian words have regular plurals.","A1-Stage2-Nouns"
"singolare","singular form of a word","Il verbo è al singolare.","The verb is singular.","A1-Stage2-Nouns"
"-o → -i","masculine plural ending rule","Il gatto → i gatti.","The cat → the cats.","A1-Stage2-Nouns"
"-a → -e","feminine plural ending rule","La mela → le mele.","The apple → the apples.","A1-Stage2-Nouns"
"-e → -i","plural ending rule for both genders","Il fiore → i fiori.","The flower → the flowers.","A1-Stage2-Nouns"
"a casa","at home no article expression","Sono a casa.","I am at home.","A1-Stage2-NoArticle"
"di notte","at night no article expression","Studio di notte.","I study at night.","A1-Stage2-NoArticle"
"in centro","in the city center no article expression","Abito in centro.","I live in the city center.","A1-Stage2-NoArticle"
"uomo → uomini","man → men irregular plural","L’uomo è alto. Gli uomini sono alti.","The man is tall. The men are tall.","A1-Stage2-IrregularPlural"
"mano → mani","hand → hands irregular plural","La mano è fredda. Le mani sono fredde.","The hand is cold. The hands are cold.","A1-Stage2-IrregularPlural"
"il caffè → i caffè","coffee → coffees invariable noun","Prendo un caffè. Prendiamo due caffè.","I’ll have a coffee. We’ll have two coffees.","A1-Stage2-InvariableNoun"
"la città → le città","city → cities invariable noun","La città è grande. Le città sono grandi.","The city is big. The cities are big.","A1-Stage2-InvariableNoun"
"al","to the a + il","Vado al mercato.","I am going to the market.","A1-Stage2-ArtPrep"
"alla","to the a + la","Vado alla scuola.","I am going to the school.","A1-Stage2-ArtPrep"
"nel","in the in + il","Il libro è nel cassetto.","The book is in the drawer.","A1-Stage2-ArtPrep"
"nella","in the in + la","La frutta è nella ciotola.","The fruit is in the bowl.","A1-Stage2-ArtPrep"
"sul","on the su + il","Il gatto è sul divano.","The cat is on the sofa.","A1-Stage2-ArtPrep"
"sulla","on the su + la","La borsa è sulla sedia.","The bag is on the chair.","A1-Stage2-ArtPrep"
