English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
internet,internet,/internet/,This was the days before the internet and before the excellent editions by Bhikkhu Bodhi.,Questo era il periodo precedente a Internet e alle eccellenti edizioni di Bhikkhu Bodhi.,/kwesto ɛra il periodo pretʃedɛnte a internet e alle etʃːellɛntɪ editsionɪ dɪ bikːʊ bodɪ./,A1,Shopping,"A1,Shopping",
t-shirt,maglietta,/maʎetːa/,"Mary is wearing a t-shirt with ""No Kissing!","Mary indossa una maglietta con la scritta ""No Kissing!","/mɛːɾɪ indɔssa ʊna maʎetːa kon la skritːa ""nɔ kissiŋɡ!/",A1,Shopping,"A1,Shopping",
airplane,aereo,/aɛːreo/,Ziri was on an airplane.,Ziri era su un aereo.,/dzirɪ ɛra sʊ ʊn aɛːreo./,A1,Shopping,"A1,Shopping",
airport,aeroporto,/aeropɔrto/,Ziri took Rima to the airport.,Ziri ha accompagnato Rima all'aeroporto.,/dzirɪ a akːompaɲato rima allaeropɔrto./,A1,Shopping,"A1,Shopping",
apartment,appartamento,/apːartamento/,I will retire to my own apartment.,Mi ritirerò nel mio appartamento.,/mɪ ritireɾɔ nel mio apːartamento./,A1,Shopping,"A1,Shopping",
apron,grembiule,/ɡrembɪule/,He will line your apron with gold.,Rivestirà d'oro il vostro grembiule.,/rivestiɾa dɔro il vɔstro ɡrembɪule./,A1,Shopping,"A1,Shopping",
arm,braccio,/bratʃːo/,What an arm he has!,Che braccio che ha!,/ke bratʃːo ke a!/,A1,Shopping,"A1,Shopping",
bank,banca,/banka/,"That is a bank-note, ” repeated Mr.","Questa è una banconota"", ha ripetuto Mr.","/kwesta ɛ ʊna bankonɔta"", a ripetuto ɛmmeɛrɾe./",A1,Shopping,"A1,Shopping",
bank,banca,/banka/,"That is a bank-note, ” repeated Mr.","Questa è una banconota"", ha ripetuto Mr.","/kwesta ɛ ʊna bankonɔta"", a ripetuto ɛmmeɛrɾe./",A1,Shopping,"A1,Shopping",
baseball,baseball,/beɪzboːl/,I know you don't like baseball.,So che non ti piace il baseball.,/sɔ ke non tɪ pjatʃe il beɪzboːl./,A1,Shopping,"A1,Shopping",
basketball,pallacanestro,/pallakanɛstro/,She is a member of the basketball club.,È membro del club di basket.,/e mɛmbro del klaːb dɪ basket./,A1,Shopping,"A1,Shopping",
bat,mazza,/matsːa/,"So do I, ” cried Charley Bates.","Anch'io"", esclamò Charley Bates.","/ankio"", esklamɔ tʃarleɪ bates./",A1,Shopping,"A1,Shopping",
bathroom,bagno,/baɲɲo/,"Near this kitchen was a bathroom comfortably furnished, with hot and cold water taps.","Vicino alla cucina c'era un bagno arredato in modo confortevole, con rubinetti per l'acqua calda e fredda.","/vitʃino alla kʊtʃina tʃɛra ʊn baɲɲo arɾedato in mɔdo konfortevole, kon rʊbinetːɪ per lakːwa kalda e fredːa./",A1,Shopping,"A1,Shopping",
bed,letto,/lɛtːo/,Kate has been in bed--oh!,Kate è stata a letto... Oh!,/keɪt̪ e stata a lɛtːo... oː!/,A1,Shopping,"A1,Shopping",
bedroom,camera da letto,/kamera da lɛtːo/,You should see it from my bedroom window.,Dovreste vederla dalla finestra della mia camera da letto.,/dovreste vedɛrla dalla finɛstra della mia kamera da lɛtːo./,A1,Shopping,"A1,Shopping",
