English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
addiction,dipendenza,/dipendɛntsa/,"↩ Sense restraint is not about denial, but about freeing the mind from addiction.","Il contenimento dei sensi non consiste nella negazione, ma nel liberare la mente dalla dipendenza.","/il kontenimento deɪ sɛnsɪ non konsiste nella neɡatsione, ma nel liberare la mente dalla dipendɛntsa./",B2,Health,"B2,Health",
adversity,avversità,/avversita/,"You, my friend, have, in a signal way, experienced adversity.","Lei, amico mio, ha sperimentato in modo evidente le avversità.","/lɛi, amiko mio, a sperimentato in mɔdo evidɛnte le avversita./",B2,Health,"B2,Health",
agony,agonia,/aɡonia/,Tom was in an agony.,Tom era in agonia.,/tɔm ɛra in aɡonia./,B2,Health,"B2,Health",
alcoholism,alcolismo,/alkolizmo/,"Corpulence is, consequently, a common result of alcoholism.","La corpulenza è, di conseguenza, un risultato comune dell'alcolismo.","/la korpʊlɛntsa ɛː, dɪ konseɡwɛntsa, ʊn rizʊltato komune dellalkolizmo./",B2,Health,"B2,Health",
anguish,angoscia,/anɡɔʃa/,He groaned in anguish that not even hope could soften.,Gemeva con un'angoscia che nemmeno la speranza poteva attenuare.,/dʒemɛva kon ʊnanɡɔʃa ke nemmeno la sperantsa potɛva atːenʊare./,B2,Health,"B2,Health",
bankruptcy,fallimento,/fallimento/,50 Cent has filed for bankruptcy.,50 Cent ha presentato istanza di fallimento.,/tʃinkwanta tʃent a prezentato istantsa dɪ fallimento./,B2,Health,"B2,Health",
beak,becco,/bekːo/,And was not its mouth like a parrot’s beak?,E la sua bocca non era forse come il becco di un pappagallo?,/e la sʊa bokːa non ɛra forse kome il bekːo dɪ ʊn papːaɡallo?/,B2,Health,"B2,Health",
blindness,cecità,/tʃetʃita/,And blindness and deafness are not physical only.,E la cecità e la sordità non sono solo fisiche.,/e la tʃetʃita e la sordita non sono solo fizike./,B2,Health,"B2,Health",
blink,ammiccamento,/ammikːamento/,English whalers have given it the name of “ice blink.,"I balenieri inglesi le hanno dato il nome di ""ice blink"".","/i baleniɛrɪ iŋɡlezɪ le anno dato il nome di ""itʃe bliŋk""./",B2,Health,"B2,Health",
bloodstream,flusso sanguigno,/flusso saŋɡwiɲɲo/,The infection has reached the bloodstream.,L'infezione ha raggiunto il flusso sanguigno.,/linfetsione a radʒːunto il flusso saŋɡwiɲɲo./,B2,Health,"B2,Health",
bruise,livido,/livido/,A bruise would be dishonour.,Un livido sarebbe un disonore.,/ʊn livido sarɛbːe ʊn dizonore./,B2,Health,"B2,Health",
bulimia,bulimia,/bʊlimia/,Tom was diagnosed with bulimia.,A Tom è stata diagnosticata la bulimia.,/a tɔm e stata djaɲostikata la bʊlimia./,B2,Health,"B2,Health",
catastrophe,catastrofe,/katastrofe/,I foresee that we may yet involve your master in some dire catastrophe.,Prevedo che potremmo ancora coinvolgere il vostro padrone in qualche terribile catastrofe.,/prevedo ke potrɛmmo ankora koinvoldʒere il vɔstro padrone in kwalke terɾibile katastrofe./,B2,Health,"B2,Health",
clap,applauso,/apːlaʊzo/,There was a moral infection of clap-trap in him.,C'era in lui un'infezione morale di clap-trap.,/tʃɛra in lʊi ʊninfetsione morale dɪ klaptrap./,B2,Health,"B2,Health",
climate,clima,/klima/,"The climate, I believe, is healthy?","Il clima, credo, è sano?","/il klima, krɛdo, e sano?/",B2,Health,"B2,Health",
coherence,coerenza,/koerɛntsa/,"Madmen are of some nation, and their language, however incoherent in its words, has always the coherence of syllabification.","I pazzi sono di qualche nazione e il loro linguaggio, per quanto incoerente nelle parole, ha sempre la coerenza della sillabazione.","/i patsːɪ sono dɪ kwalke natsione e il lɔro liŋɡwadʒːo, per kwanto inkoerɛnte nelle paɾɔle, a sɛmpre la koerɛntsa della sillabatsione./",B2,Health,"B2,Health",
consensus,consenso,/konsɛnso/,There is no consensus on the exact location of Dantapura.,Non c'è consenso sulla posizione esatta di Dantapura.,/non tʃe konsɛnso sʊlla pozitsione ezatːa dɪ dantapura./,B2,Health,"B2,Health",
corruption,corruzione,/korɾʊtsione/,And it is freed from passing corruptions.,E si libera dalle corruzioni passeggere.,/e sɪ libera dalle korɾʊtsionɪ passedʒːɛre./,B2,Health,"B2,Health",
coziness,intimità,/intimita/,Coziness is a national icon for us.,L'accoglienza è per noi un'icona nazionale.,/lakːoʎɛntsa e per noi ʊnikɔna natsionale./,B2,Health,"B2,Health",
decay,decadimento,/dekadimento/,And what is decay of wealth?,E cos'è il decadimento della ricchezza?,/e kozɛ il dekadimento della rikːetsːa?/,B2,Health,"B2,Health",
deforestation,deforestazione,/deforestatsione/,There is no need to be callous about deforestation.,Non c'è bisogno di essere insensibili alla deforestazione.,/non tʃe bizoɲɲo dɪ ɛssere insensibilɪ alla deforestatsione./,B2,Health,"B2,Health",
desolation,desolazione,/dezolatsione/,"O, there were desolation of gaolers and gallowses!","Oh, c'era la desolazione dei carcerieri e dei patiboli!","/oː, tʃɛra la dezolatsione deɪ kartʃeriɛrɪ e deɪ patibolɪ!/",B2,Health,"B2,Health",
desperation,disperazione,/disperatsione/,I took up my rifle in desperation.,Ho imbracciato il fucile per disperazione.,/o imbratʃːato il fʊtʃile per disperatsione./,B2,Health,"B2,Health",
diarrhea,diarrea,/djarɾɛa/,Is this a diarrhea restaurant?,È un ristorante per la diarrea?,/e ʊn ristorante per la djarɾɛa?/,B2,Health,"B2,Health",
dignity,dignità,/diɲita/,There was a solemnity--a dignity--in Mr.,"C'era una solennità, una dignità, in Mr.","/tʃɛra ʊna solennita, ʊna diɲita, in ɛmmeɛrɾe./",B2,Health,"B2,Health",
diphtheria,difterite,/difterite/,Diphtheria was a common disease at the time.,La difterite era una malattia comune all'epoca.,/la difterite ɛra ʊna malatːia komune allɛpoka./,B2,Health,"B2,Health",
discredit,screditare,/skreditare/,You could scarcely escape discredit and misery.,Difficilmente riuscirete a sfuggire al discredito e alla miseria.,/diffitʃilmente riʊʃirete a sfʊdʒːire al diskredito e alla mizɛria./,B2,Health,"B2,Health",
disorder,disordine,/dizordine/,The disorder in the city was extreme.,Il disordine in città era estremo.,/il dizordine in tʃitːa ɛra estrɛmo./,B2,Health,"B2,Health",
ease,facilità,/fatʃilita/,I was singularly at ease.,Ero singolarmente a mio agio.,/ɛro siŋɡolarmente a mio adʒo./,B2,Health,"B2,Health",
embrace,abbraccio,/abːratʃːo/,I will embrace your offer.,Accetterò la sua offerta.,/atʃːetːeɾɔ la sʊa offɛrta./,B2,Health,"B2,Health",
endurance,resistenza,/rezistɛntsa/,And how is someone developed in physical endurance and mind?,E come si sviluppa la resistenza fisica e la mente di una persona?,/e kome sɪ zvilupːa la rezistɛntsa fizika e la mente dɪ ʊna persona?/,B2,Health,"B2,Health",
eruption,eruzione,/erʊtsione/,Is the eruption about to fail?,L'eruzione sta per fallire?,/lerʊtsione sta per fallire?/,B2,Health,"B2,Health",
