"Term","English Translation","Explanation","Example Sentence (Italian)","Example Sentence (English)","Tags"
"io","I","subject pronoun),"Io sono felice.","I am happy.","A1-Stage1-Pronouns"
"tu","you","informal singular subject pronoun","Tu lavori in ufficio.","You work in an office.","A1-Stage1-Pronouns"
"lui","he","","Lui mangia la pasta.","He eats pasta.","A1-Stage1-Pronouns"
"lei","she","","Lei parla francese.","She speaks French.","A1-Stage1-Pronouns"
"noi","we","","Noi viviamo in Italia.","We live in Italy.","A1-Stage1-Pronouns"
"voi","you","plural","Voi studiate l’inglese.","You study English.","A1-Stage1-Pronouns"
"loro","they","","Loro viaggiano molto.","They travel a lot.","A1-Stage1-Pronouns"
"non","not","negation","Non bevo caffè.","I do not drink coffee.","A1-Stage1-Negation"
"Mangio la mela.","I eat the apple.","Affirmative sentence example","Mangio la mela.","I eat the apple.","A1-Stage1-SentenceStructure"
"Non mangio la mela.","I do not eat the apple.","Negative sentence example","Non mangio la mela.","I do not eat the apple.","A1-Stage1-SentenceStructure"
"Mangio la mela?","","Yes/No question example","Mangio la mela?","Do I eat the apple?","A1-Stage1-SentenceStructure"
"Chi sei?","Who are you?","","Chi sei?","Who are you?","A1-Stage1-SentenceStructure"
"Che cosa fai?","What are you doing?","","Che cosa fai?","What are you doing?","A1-Stage1-SentenceStructure"
"Dove abiti?","Where do you live?","","Dove abiti?","Where do you live?","A1-Stage1-SentenceStructure"
"Perché studi italiano?","Why are you studying Italian?","","Perché studi italiano?","Why are you studying Italian?","A1-Stage1-SentenceStructure"
"sono","I am","1st person singular of essere","Io sono stanco.","I am tired.","A1-Stage1-Verbs"
"sei","you are","2nd person singular of essere","Tu sei simpatico.","You are nice.","A1-Stage1-Verbs"
"è","he/she/it is","3rd person singular of essere","Lui è felice.","He is happy.","A1-Stage1-Verbs"
"siamo","we are","1st person plural of essere","Noi siamo pronti.","We are ready.","A1-Stage1-Verbs"
"siete","you are","2nd person plural of essere","Voi siete studenti.","You are students.","A1-Stage1-Verbs"
"sono","they are","3rd person plural of essere","Loro sono amici.","They are friends.","A1-Stage1-Verbs"
"ho","I have","1st person singular of avere","Ho un gatto.","I have a cat.","A1-Stage1-Verbs"
"hai","you have","2nd person singular of avere","Hai una bicicletta.","You have a bicycle.","A1-Stage1-Verbs"
"ha","he/she/it has","3rd person singular of avere","Lei ha un libro.","She has a book.","A1-Stage1-Verbs"
"abbiamo","we have","1st person plural of avere","Abbiamo fame.","We are hungry.","A1-Stage1-Verbs"
"avete","you have","2nd person plural of avere","Avete tempo?","Do you have time?","A1-Stage1-Verbs"
"hanno","they have","3rd person plural of avere","Hanno una casa.","They have a house.","A1-Stage1-Verbs"
"parlare","to speak","regular -are verb","Parlo italiano.","I speak Italian.","A1-Stage1-Verbs"
"prendere","to take","regular -ere verb","Prendo il treno.","I take the train.","A1-Stage1-Verbs"
"dormire","to sleep","regular -ire verb","Dormo otto ore.","I sleep eight hours.","A1-Stage1-Verbs"
"questo","this","masculine singular","Questo libro è interessante.","This book is interesting.","A1-Stage1-Demonstratives"
"questa","this","feminine singular","Questa casa è nuova.","This house is new.","A1-Stage1-Demonstratives"
"questi","these","masculine plural","Questi ragazzi sono alti.","These boys are tall.","A1-Stage1-Demonstratives"
"queste","these","feminine plural","Queste mele sono rosse.","These apples are red.","A1-Stage1-Demonstratives"
"quello","that","masculine singular","Quello è il mio amico.","That is my friend.","A1-Stage1-Demonstratives"
"quella","that","feminine singular","Quella macchina è veloce.","That car is fast.","A1-Stage1-Demonstratives"
"in","in","preposition","Vivo in Italia.","I live in Italy.","A1-Stage1-Prepositions"
"a","at/to","preposition","Vado a Roma.","I go to Rome.","A1-Stage1-Prepositions"
"su","on","preposition","Il libro è sul tavolo.","The book is on the table.","A1-Stage1-Prepositions"
"sotto","under","preposition","Il gatto è sotto la sedia.","The cat is under the chair.","A1-Stage1-Prepositions"
"davanti a","in front of","preposition","La macchina è davanti al garage.","The car is in front of the garage.","A1-Stage1-Prepositions"
"dietro","behind","preposition","Il parco è dietro la scuola.","The park is behind the school.","A1-Stage1-Prepositions"
"e","and","","Ho pane e vino.","I have bread and wine.","A1-Stage1-Connectors"
"ma","but","","Mi piace il tè ma non il caffè.","I like tea but not coffee.","A1-Stage1-Connectors"
"o","or","","Vuoi tè o caffè?","Do you want tea or coffee?","A1-Stage1-Connectors"
"anche","also/too","","Parlo inglese e anche spagnolo.","I speak English and also Spanish.","A1-Stage1-Connectors"
"per favore","please","","Un caffè, per favore.","A coffee, please.","A1-Stage1-Politeness"
"grazie","thank you","","Grazie per il regalo.","Thank you for the gift.","A1-Stage1-Politeness"
"scusi","excuse me","formal","Scusi, dov’è il bagno?","Excuse me, where is the bathroom?","A1-Stage1-Politeness"
"prego","you’re welcome","","Prego, è stato un piacere.","You’re welcome, it was a pleasure.","A1-Stage1-Politeness"
