English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
april,aprile,/aprile/,That was April Fool Day.,Era un pesce d'aprile.,/ɛra ʊn peʃe daprile./,A1,Time & Quantity,"A1,Time & Quantity",
august,agosto,/aɡosto/,It was on the seventh of August.,Era il 7 agosto.,/ɛra il sɛtːe aɡosto./,A1,Time & Quantity,"A1,Time & Quantity",
buddhist,buddista,/bʊdːista/,Thus far the texts are pre-Buddhist.,Finora i testi sono pre-buddisti.,/finora i tɛstɪ sono prebʊdːistɪ./,A1,Social,"A1,Social",
buddhism,buddismo,/bʊdːizmo/,Buddhism is the original anti-essentialism.,Il buddismo è l'antiessenzialismo originale.,/il bʊdːizmo e lantjessentsjalizmo oridʒinale./,A1,Grammar,"A1,Grammar",
buddha,buddha,/budːa/,"There can, ” said the Buddha.","Si può"", disse il Buddha.","/sɪ pʊɔ"", disse il budːa./",A1,Social,"A1,Social",
december,dicembre,/ditʃɛmbre/,It was a Saturday night in December.,Era un sabato sera di dicembre.,/ɛra ʊn sabato sera dɪ ditʃɛmbre./,A1,Time & Quantity,"A1,Time & Quantity",
doctor,medico,/mɛdiko/,Do you know--what’s a-name--Doctors’ Commons?,"Conosci... come si chiama... il ""Doctors' Commons""?","/konoʃɪ... kome sɪ kjama... iːl ""doktɔrs kommons""?/",A1,Social,"A1,Social",
false,falso,/falso/,But this is false reasoning.,Ma questo è un ragionamento falso.,/ma kwesto ɛ ʊn radʒonamento falso./,A1,Grammar,"A1,Grammar",
february,febbraio,/febːraio/,The crowning took place on February 15.,L'incoronazione è avvenuta il 15 febbraio.,/linkoronatsione e avvenuta il kwimditʃɪ febːraio./,A1,Time & Quantity,"A1,Time & Quantity",
friday,venerdì,/venerdi/,I forgot it was Friday.,Avevo dimenticato che era venerdì.,/avevo dimentikato ke ɛra venerdi./,A1,Time & Quantity,"A1,Time & Quantity",
i,i,/i/,"I have been thinking, Mr.","Stavo pensando, signor","/stavo pensando, siɲor/",A1,Social,"A1,Social",
internet,internet,/internet/,This was the days before the internet and before the excellent editions by Bhikkhu Bodhi.,Questo era il periodo precedente a Internet e alle eccellenti edizioni di Bhikkhu Bodhi.,/kwesto ɛra il periodo pretʃedɛnte a internet e alle etʃːellɛntɪ editsionɪ dɪ bikːʊ bodɪ./,A1,Shopping,"A1,Shopping",
january,gennaio,/dʒennaio/,I shall see her in January.,La vedrò a gennaio.,/la vedrɔ a dʒennaio./,A1,Time & Quantity,"A1,Time & Quantity",
july,luglio,/luʎo/,The consequences of the 14th of July were disastrous.,Le conseguenze del 14 luglio furono disastrose.,/le konseɡwɛntse del kwatːorditʃɪ luʎo fʊrono dizastroze./,A1,Time & Quantity,"A1,Time & Quantity",
june,giugno,/dʒuɲɲo/,The June weather was delicious.,Il clima di giugno è stato delizioso.,/il klima dɪ dʒuɲɲo e stato delitsjozo./,A1,Time & Quantity,"A1,Time & Quantity",
march,marcia,/martʃa/,Do you mean Aunt March?,Vuoi dire zia March?,/vʊɔi dire dzia martʃ?/,A1,Social,"A1,Social",
may,può,/pʊɔ/,May be a humble one!,Che sia umile!,/ke sia umile!/,A1,Time & Quantity,"A1,Time & Quantity",
miss,miss,/miss/,A--and how is Miss Nickleby?,E come sta Miss Nickleby?,/e kome sta miss nikːlebɪ?/,A1,Social,"A1,Social",
monday,lunedì,/lʊnedi/,"Tom said it might be Sunday, now—maybe Monday.","Tom ha detto che potrebbe essere domenica, ora, forse lunedì.","/tɔm a detːo ke potrɛbːe ɛssere domenika, ora, forse lʊnedi./",A1,Time & Quantity,"A1,Time & Quantity",
mr.,Signor,/siɲor/,"Speculate with it,’ said Mrs. Nickleby.","Speculare con esso"", disse la signora Nickleby.","/spekʊlare kon esso"", disse la siɲora nikːlebɪ./",A1,Social,"A1,Social",
mrs.,Signora.,/siɲora./,"Speculate with it,’ said Mrs. Nickleby.","Speculare con esso"", disse la signora Nickleby.","/spekʊlare kon esso"", disse la siɲora nikːlebɪ./",A1,Social,"A1,Social",
miss,Signorina,/siɲorina/,"He certainly has,’ added Miss Petowker.","Certamente"", ha aggiunto la signorina Petowker.","/tʃertamente"", a adʒːunto la siɲorina petowkɛr./",A1,Social,"A1,Social",
sir,Signor,/siɲor/,"We are, dear Sirs, “Yours respectfully.","Siamo, cari Signori, ""Rispettosamente vostri"".","/sjamo, karɪ siɲorɪ, ""rispetːozamente vɔstrɪ""./",A1,Social,"A1,Social",
ma'am,Signora.,/siɲora./,"Of what is this fine crop to consist, ma'am?","Di cosa sarà composto questo bel raccolto, signora?","/dɪ kɔza saɾa komposto kwesto bɛl rakːɔlto, siɲora?/",A1,Social,"A1,Social",
november,novembre,/novɛmbre/,This promise was made on the 2nd of November.,Questa promessa è stata fatta il 2 novembre.,/kwesta promessa e stata fatːa il due novɛmbre./,A1,Time & Quantity,"A1,Time & Quantity",
ok,ok,/okɛi/,Sami will be OK with Layla.,Sami si troverà bene con Layla.,/samɪ sɪ troveɾa bɛne kon laila./,A1,Social,"A1,Social",
october,ottobre,/ɔtːobre/,He did not reach Guyenne until October 22.,Raggiunse la Guyenne solo il 22 ottobre.,/radʒːunse la ɡwjɛnne solo il ventɪdue ɔtːobre./,A1,Time & Quantity,"A1,Time & Quantity",
olympics,olimpiadi,/olimpiadɪ/,Tom is competing in the Special Olympics.,Tom partecipa alle Olimpiadi speciali.,/tɔm partɛtʃipa alle olimpiadɪ spetʃalɪ./,A1,Activities,"A1,Activities",
saturday,sabato,/sabato/,On Saturday he came again.,Sabato è venuto di nuovo.,/sabato e venuto dɪ nʊɔvo./,A1,Time & Quantity,"A1,Time & Quantity",
september,settembre,/setːɛmbre/,"In September, the vintage was gathered.",A settembre è stata raccolta l'annata.,/a setːɛmbre e stata rakːɔlta lannata./,A1,Time & Quantity,"A1,Time & Quantity",
sunday,domenica,/domenika/,Do you mind tennis on Sunday—?,Ti dispiace giocare a tennis domenica?,/tɪ dispɪaːtʃe dʒokare a tɛnnis domenika?/,A1,Social,"A1,Social",
t-shirt,maglietta,/maʎetːa/,"Mary is wearing a t-shirt with ""No Kissing!","Mary indossa una maglietta con la scritta ""No Kissing!","/mɛːɾɪ indɔssa ʊna maʎetːa kon la skritːa ""nɔ kissiŋɡ!/",A1,Shopping,"A1,Shopping",
true,vero,/vero/,"Yes, gentlemen, it is true.","Sì, signori, è vero.","/siː, siɲorɪ, e vero./",A1,Grammar,"A1,Grammar",
thursday,giovedì,/dʒovedi/,A Thursday be it then.,"Che sia giovedì, allora.","/ke sia dʒovedi, allora./",A1,Time & Quantity,"A1,Time & Quantity",
tuesday,martedì,/martedi/,Tuesday the boys had the same ill luck.,Martedì i ragazzi hanno avuto la stessa sfortuna.,/martedi i raɡatsːɪ anno avuto la stessa sfortuna./,A1,Time & Quantity,"A1,Time & Quantity",
wednesday,mercoledì,/merkoledi/,These Wednesdays were the happiest days of Mr.,Questi mercoledì sono stati i giorni più felici di Mr.,/kwestɪ merkoledi sono statɪ i dʒornɪ pjʊ felitʃɪ dɪ ɛmmeɛrɾe./,A1,Time & Quantity,"A1,Time & Quantity",
a,a,/aː/,Can you blo’ a harn?,Puoi fare un'imbracatura?,/pʊɔi fare ʊnimbrakatura?/,A1,Social,"A1,Social",
about,circa,/tʃirka/,There was something about it.,C'era qualcosa di particolare.,/tʃɛra kwalkɔza dɪ partikolare./,A1,Grammar,"A1,Grammar",
above,sopra,/sopra/,Are you below or above?,Siete sotto o sopra?,/sjete sotːo o sopra?/,A1,Social,"A1,Social",
across,attraverso,/atːravɛrso/,Who can I help across?,Chi posso aiutare attraverso?,/kɪ pɔsso ajʊtare atːravɛrso?/,A1,Grammar,"A1,Grammar",
action,azione,/atsione/,And what is wrong action?,E qual è l'azione sbagliata?,/e kwal e latsione zbaʎata?/,A1,Social,"A1,Social",
activity,attività,/atːivita/,Glasses were used with feverish activity.,Gli occhiali sono stati utilizzati con un'attività febbrile.,/ʎɪ okːjalɪ sono statɪ ʊtilidzːatɪ kon ʊnatːivita febːrile./,A1,Health,"A1,Health",
actor,attore,/atːore/,He is a strolling actor!,È un attore ambulante!,/e ʊn atːore ambʊlante!/,A1,Social,"A1,Social",
actress,attrice,/atːritʃe/,The actress has a very beautiful name.,L'attrice ha un nome molto bello.,/latːritʃe a ʊn nome molto bɛllo./,A1,Social,"A1,Social",
add,aggiungere,/adʒːundʒere/,Why do you add NaOH?,Perché si aggiunge NaOH?,/perke sɪ adʒːundʒe na oː?/,A1,Health,"A1,Health",
address,indirizzo,/indiritsːo/,Burgen-strasse 16 was the address.,L'indirizzo era Burgen-strasse 16.,/lindiritsːo ɛra burdʒenstrasse seditʃɪ./,A1,Social,"A1,Social",
adult,adulto,/adulto/,The need of phosphates is relatively smaller in adults than in young developing animals.,Il fabbisogno di fosfati è relativamente minore negli adulti che nei giovani animali in via di sviluppo.,/il fabːizoɲɲo dɪ fosfatɪ e relativamente minore neʎɪ adultɪ ke nei dʒovanɪ animalɪ in via dɪ zvilupːo./,A1,Social,"A1,Social",
advice,consiglio,/konsiʎo/,He gave me this advice.,Mi ha dato questo consiglio.,/mɪ a dato kwesto konsiʎo./,A1,Social,"A1,Social",
afraid,paura,/paʊra/,Afraid to go to sleep!,Paura di andare a dormire!,/paʊra dɪ andare a dormire!/,A1,Grammar,"A1,Grammar",
after,dopo,/dopo/,What is it after all?,Che cos'è in fondo?,/ke kozɛ in fondo?/,A1,Grammar,"A1,Grammar",
afternoon,pomeriggio,/pomeridʒːo/,"In the afternoon, tell them.","Nel pomeriggio, raccontate loro.","/nel pomeridʒːo, rakːontate lɔro./",A1,Social,"A1,Social",
again,di nuovo,/dɪ nʊɔvo/,We may never meet again.,Potremmo non incontrarci mai più.,/potrɛmmo non inkontrartʃɪ maj pju./,A1,Grammar,"A1,Grammar",
age,età,/eta/,And what is old age?,E cos'è la vecchiaia?,/e kozɛ la vekːjaia?/,A1,Time & Quantity,"A1,Time & Quantity",
ago,fa,/fa/,It is too long ago.,È passato troppo tempo.,/e passato trɔpːo tɛmpo./,A1,Grammar,"A1,Grammar",
agree,concordare,/konkordare/,How can these contrarieties agree?,Come possono queste contrarietà andare d'accordo?,/kome pɔssono kweste kontrarieta andare dakːɔrdo?/,A1,Social,"A1,Social",
air,aria,/aria/,They be nowt but air-blebs.,Non sono altro che bombe d'aria.,/non sono altro ke bombe daria./,A1,Social,"A1,Social",
airplane,aereo,/aɛːreo/,Ziri was on an airplane.,Ziri era su un aereo.,/dzirɪ ɛra sʊ ʊn aɛːreo./,A1,Shopping,"A1,Shopping",
airport,aeroporto,/aeropɔrto/,Ziri took Rima to the airport.,Ziri ha accompagnato Rima all'aeroporto.,/dzirɪ a akːompaɲato rima allaeropɔrto./,A1,Shopping,"A1,Shopping",
album,album,/albʊm/,My new album is available on all the streaming platforms.,Il mio nuovo album è disponibile su tutte le piattaforme di streaming.,/il mio nʊɔvo albʊm e disponibile sʊ tutːe le pjatːaforme dɪ (en)stɹiːmɪŋ(it)./,A1,Social,"A1,Social",
all,tutti,/tutːɪ/,"All right, ’ was the reply.","Va bene"", fu la risposta.","/va bɛne"", fʊ la risposta./",A1,Grammar,"A1,Grammar",
all,tutti,/tutːɪ/,"All right, ’ was the reply.","Va bene"", fu la risposta.","/va bɛne"", fʊ la risposta./",A1,Grammar,"A1,Grammar",
almost,quasi,/kwazɪ/,It is almost past belief.,È quasi impossibile da credere.,/e kwazɪ impossibile da kredere./,A1,Grammar,"A1,Grammar",
alone,solo,/solo/,"We will dine alone, then.","Ceneremo da soli, allora.","/tʃenerɛmo da sɔlɪ, allora./",A1,Grammar,"A1,Grammar",
along,lungo,/luŋɡo/,I knew it all along.,L'ho sempre saputo.,/lo sɛmpre saputo./,A1,Grammar,"A1,Grammar",
already,già,/dʒa/,We have astonished them already.,Li abbiamo già stupiti.,/lɪ abːjamo dʒa stʊpitɪ./,A1,Grammar,"A1,Grammar",
also,anche,/anke/,This also was my doing!,Anche questo è opera mia!,/anke kwesto ɛ ɔpera mia!/,A1,Grammar,"A1,Grammar",
always,sempre,/sɛmpre/,They are always in earnest.,Sono sempre seri.,/sono sɛmpre sɛrɪ./,A1,Grammar,"A1,Grammar",
am,sono,/sono/,"Do you give lessons, ma’am?","Dà lezioni, signora?","/da letsionɪ, siɲora?/",A1,Social,"A1,Social",
amazing,sorprendente,/sorprendɛnte/,They’re amazing and have amazing qualities.,Sono incredibili e hanno qualità straordinarie.,/sono inkredibilɪ e anno kwalita straordinarie./,A1,Grammar,"A1,Grammar",
an,un,/un/,Here was an untoward event!,Ecco un evento spiacevole!,/ɛkːo ʊn evɛnto spjatʃevole!/,A1,Social,"A1,Social",
and,e,/eː/,And you really want one?,E ne vuoi davvero uno?,/e ne vʊɔi davvero uno?/,A1,,A1,
angry,arrabbiato,/arɾabːjato/,"Why, you are never angry!","Ma come, non sei mai arrabbiato!","/ma kome, non sɛi maj arɾabːjato!/",A1,Grammar,"A1,Grammar",
animal,animale,/animale/,The animal realm is better.,Il regno animale è migliore.,/il reɲɲo animale e miʎore./,A1,Social,"A1,Social",
another,un altro,/ʊn altro/,Could there be another way?,Potrebbe esserci un altro modo?,/potrɛbːe ɛssertʃɪ ʊn altro mɔdo?/,A1,Grammar,"A1,Grammar",
answer,risposta,/risposta/,What purpose would that answer?,A quale scopo?,/a kwale skɔpo?/,A1,Social,"A1,Social",
any,qualsiasi,/kwalsiazɪ/,Has she a father--mother--any brothers--sisters?,"Ha un padre, una madre, fratelli e sorelle?","/a ʊn padre, ʊna madre, fratɛllɪ e sorɛlle?/",A1,Grammar,"A1,Grammar",
anybody,chiunque,/kjunkwe/,Anybody might have known that.,Chiunque avrebbe potuto saperlo.,/kjunkwe avrɛbːe potuto sapɛrlo./,A1,,A1,
anyone,chiunque,/kjunkwe/,It cannot be concealed from anyone.,Non si può nascondere a nessuno.,/non sɪ pʊɔ naskondere a nessuno./,A1,,A1,
anything,qualsiasi cosa,/kwalsiazɪ kɔza/,Have you anything to say?,Hai qualcosa da dire?,/aj kwalkɔza da dire?/,A1,,A1,
apartment,appartamento,/apːartamento/,I will retire to my own apartment.,Mi ritirerò nel mio appartamento.,/mɪ ritireɾɔ nel mio apːartamento./,A1,Shopping,"A1,Shopping",
apple,mela,/mɛla/,Give the general composition of apples?,Indicare la composizione generale delle mele.,/indikare la kompozitsione dʒenerale delle mɛle./,A1,Food,"A1,Food",
apron,grembiule,/ɡrembɪule/,He will line your apron with gold.,Rivestirà d'oro il vostro grembiule.,/rivestiɾa dɔro il vɔstro ɡrembɪule./,A1,Shopping,"A1,Shopping",
are,sono,/sono/,The Brothers are now dead.,I Fratelli sono morti.,/i fratɛllɪ sono mɔrtɪ./,A1,Time & Quantity,"A1,Time & Quantity",
area,area,/area/,The Sangha abolishes this may-stay-apart-from-the-three-robes area.,Il Sangha abolisce quest'area di permesso di non allontanarsi dalle tre vesti.,/il saŋɡa aboliʃe kwestarea dɪ permesso dɪ non allontanarsɪ dalle tre vɛstɪ./,A1,Grammar,"A1,Grammar",
arm,braccio,/bratʃːo/,What an arm he has!,Che braccio che ha!,/ke bratʃːo ke a!/,A1,Shopping,"A1,Shopping",
around,intorno,/intorno/,I followed around to see.,Ho seguito il giro per vedere.,/o seɡwito il dʒiro per vedere./,A1,Grammar,"A1,Grammar",
arrive,arrivare,/arɾivare/,Before any answer could arrive from Mr.,Prima che potesse arrivare una risposta da parte di Mr.,/prima ke potesse arɾivare ʊna risposta da parte dɪ ɛmmeɛrɾe./,A1,Professional,"A1,Professional",
art,arte,/arte/,"But, Art, this is different.","Ma, Art, questo è diverso.","/ma, art, kwesto ɛ divɛrso./",A1,Social,"A1,Social",
article,articolo,/artikolo/,"What is he, William, that does lend articles?","Chi è, William, che presta articoli?","/kɪ ɛː, william, ke prɛsta artikolɪ?/",A1,Social,"A1,Social",
artist,artista,/artista/,But here is an artist.,Ma ecco un artista.,/ma ɛkːo ʊn artista./,A1,Social,"A1,Social",
as,come,/kome/,We may as well part.,Potremmo anche separarci.,/potrɛmmo anke sepaɾartʃɪ./,A1,Social,"A1,Social",
ask,chiedere,/kjɛdere/,He asks and gets it.,Lo chiede e lo ottiene.,/lo kjede e lo otːjɛne./,A1,Social,"A1,Social",
at,a,/aː/,You can come at night.,Potete venire di notte.,/potete venire dɪ nɔtːe./,A1,Time & Quantity,"A1,Time & Quantity",
aunt,zia,/dzia/,Do you mean Aunt March?,Vuoi dire zia March?,/vʊɔi dire dzia martʃ?/,A1,Social,"A1,Social",
autumn,autunno,/aʊtunno/,The provinces were alive with activity during this autumn.,"Durante l'autunno, le province erano piene di attività.","/dʊrante laʊtunno, le provintʃe ɛrano pjɛne dɪ atːivita./",A1,Time & Quantity,"A1,Time & Quantity",
awake,sveglio,/zveʎo/,Did he awake before you returned?,Si è svegliato prima del vostro ritorno?,/sɪ e zveʎato prima del vɔstro ritorno?/,A1,Grammar,"A1,Grammar",
away,via,/via/,He is away from town.,È lontano dalla città.,/e lontano dalla tʃitːa./,A1,Grammar,"A1,Grammar",
baby,bambino,/bambino/,I'd rather be a baby.,Preferisco essere un bambino.,/preferisko ɛssere ʊn bambino./,A1,Social,"A1,Social",
back,indietro,/indjɛtro/,They didn’t have no backs.,Non avevano le spalle coperte.,/non avevano le spalle kopɛrte./,A1,Social,"A1,Social",
bad,cattivo,/katːivo/,Because the seed is bad.,Perché il seme è cattivo.,/perke il seme e katːivo./,A1,Grammar,"A1,Grammar",
bag,borsa,/borsa/,I will bring up my bag.,Porterò su la mia borsa.,/porteɾɔ sʊ la mia borsa./,A1,Social,"A1,Social",
ball,palla,/palla/,Is it blank cartridge or ball?,Si tratta di una cartuccia vuota o di una palla?,/sɪ tratːa dɪ ʊna kartutʃːa vʊɔta o dɪ ʊna palla?/,A1,Social,"A1,Social",
banana,banana,/banana/,For what core could there be in a banana tree?,Perché quale nocciolo può esserci in un albero di banane?,/perke kwale notʃːɔlo pʊɔ ɛssertʃɪ in ʊn albero dɪ banane?/,A1,Food,"A1,Food",
band,banda,/banda/,Such bands are known as schools.,Tali gruppi sono noti come scuole.,/talɪ ɡrupːɪ sono nɔtɪ kome skʊɔle./,A1,Social,"A1,Social",
bank,banca,/banka/,"That is a bank-note, ” repeated Mr.","Questa è una banconota"", ha ripetuto Mr.","/kwesta ɛ ʊna bankonɔta"", a ripetuto ɛmmeɛrɾe./",A1,Shopping,"A1,Shopping",
bank,banca,/banka/,"That is a bank-note, ” repeated Mr.","Questa è una banconota"", ha ripetuto Mr.","/kwesta ɛ ʊna bankonɔta"", a ripetuto ɛmmeɛrɾe./",A1,Shopping,"A1,Shopping",
bar,bar,/bar/,"You are reading for the bar, Mr.","Lei sta leggendo per il bar, signor","/lɛi sta ledʒːɛndo per il bar, siɲor/",A1,Social,"A1,Social",
baseball,baseball,/beɪzboːl/,I know you don't like baseball.,So che non ti piace il baseball.,/sɔ ke non tɪ pjatʃe il beɪzboːl./,A1,Shopping,"A1,Shopping",
basketball,pallacanestro,/pallakanɛstro/,She is a member of the basketball club.,È membro del club di basket.,/e mɛmbro del klaːb dɪ basket./,A1,Shopping,"A1,Shopping",
bat,mazza,/matsːa/,"So do I, ” cried Charley Bates.","Anch'io"", esclamò Charley Bates.","/ankio"", esklamɔ tʃarleɪ bates./",A1,Shopping,"A1,Shopping",
bath,bagno,/baɲɲo/,The Buddha had a hot bath.,Il Buddha fece un bagno caldo.,/il budːa fetʃe ʊn baɲɲo kaldo./,A1,Time & Quantity,"A1,Time & Quantity",
bathroom,bagno,/baɲɲo/,"Near this kitchen was a bathroom comfortably furnished, with hot and cold water taps.","Vicino alla cucina c'era un bagno arredato in modo confortevole, con rubinetti per l'acqua calda e fredda.","/vitʃino alla kʊtʃina tʃɛra ʊn baɲɲo arɾedato in mɔdo konfortevole, kon rʊbinetːɪ per lakːwa kalda e fredːa./",A1,Shopping,"A1,Shopping",
be,essere,/ɛssere/,How happy we should be!,Come dovremmo essere felici!,/kome dovremmo ɛssere felitʃɪ!/,A1,Professional,"A1,Professional",
beach,spiaggia,/spjadʒːa/,The machine was standing on a sloping beach.,La macchina si trovava su una spiaggia in pendenza.,/la makːina sɪ trovava sʊ ʊna spjadʒːa in pendɛntsa./,A1,Travel,"A1,Travel",
bean,fagiolo,/fadʒɔlo/,Give the general composition of beans.,Indicare la composizione generale dei fagioli.,/indikare la kompozitsione dʒenerale deɪ fadʒɔlɪ./,A1,Food,"A1,Food",
bear,orso,/orso/,I must bear my witness!,Devo portare la mia testimonianza!,/dɛvo portare la mia testimonjantsa!/,A1,Social,"A1,Social",
beautiful,bella,/bɛlla/,There was a beautiful fire.,C'era un bellissimo fuoco.,/tʃɛra ʊn bellissimo fʊɔko./,A1,Grammar,"A1,Grammar",
because,perché,/perke/,"Because he can’t, ’ said Mr.","Perché non può"", ha detto Mr.","/perke non pʊɔ"", a detːo ɛmmeɛrɾe./",A1,,A1,
become,diventare,/diventare/,Puṇṇa has become fully quenched.,Il Puṇṇa si è completamente spento.,/il pi u letːeːraunoeːkwatːrosɛtːe letːeːraunoeːkwatːrosɛtːe a sɪ e kompletamente spɛnto./,A1,Time & Quantity,"A1,Time & Quantity",
bed,letto,/lɛtːo/,Kate has been in bed--oh!,Kate è stata a letto... Oh!,/keɪt̪ e stata a lɛtːo... oː!/,A1,Shopping,"A1,Shopping",
bedroom,camera da letto,/kamera da lɛtːo/,You should see it from my bedroom window.,Dovreste vederla dalla finestra della mia camera da letto.,/dovreste vedɛrla dalla finɛstra della mia kamera da lɛtːo./,A1,Shopping,"A1,Shopping",
bee,ape,/ape/,And it was as sweet as pure dwarf-bee honey.,Ed era dolce come il puro miele delle api nane.,/ed ɛra doltʃe kome il puro mjɛle delle apɪ nane./,A1,Professional,"A1,Professional",
beef,manzo,/mandzo/,Give the general composition of beef.,Indicare la composizione generale della carne di manzo.,/indikare la kompozitsione dʒenerale della karne dɪ mandzo./,A1,Social,"A1,Social",
beer,birra,/birɾa/,There’ll be beer to feth.,Ci sarà birra a fiumi.,/tʃɪ saɾa birɾa a fjumɪ./,A1,Food,"A1,Food",
before,prima,/prima/,You should think before answering.,Dovreste pensare prima di rispondere.,/dovreste pensare prima dɪ rispondere./,A1,Grammar,"A1,Grammar",
begin,iniziare,/initsjare/,And then we may begin.,E poi possiamo iniziare.,/e pɔi possjamo initsjare./,A1,Social,"A1,Social",
beginning,inizio,/initsio/,But where is the beginning?,Ma dov'è l'inizio?,/ma dovɛ linitsio?/,A1,Time & Quantity,"A1,Time & Quantity",
behind,dietro,/djɛtro/,The figure was behind him.,La figura era alle sue spalle.,/la fiɡura ɛra alle sʊe spalle./,A1,Grammar,"A1,Grammar",
believe,credere,/kredere/,Could he believe his eyes!,Non poteva credere ai suoi occhi!,/non potɛva kredere aj sʊɔi ɔkːɪ!/,A1,Social,"A1,Social",
bell,campana,/kampana/,Be bold to ring the bell.,Abbiate il coraggio di suonare il campanello.,/abːjate il koradʒːo dɪ sʊonare il kampanɛllo./,A1,Social,"A1,Social",
below,sotto,/sotːo/,Are you below or above?,Siete sotto o sopra?,/sjete sotːo o sopra?/,A1,Grammar,"A1,Grammar",
beside,accanto,/akːanto/,Besides--excuse me--I don't know that.,E poi - scusatemi - non lo so.,/e pɔi skʊzatemɪ non lo sɔ./,A1,,A1,
best,migliore,/miʎore/,"You know best, of course.","Lei lo sa bene, naturalmente.","/lɛi lo sa bɛne, natʊralmente./",A1,Social,"A1,Social",
better,meglio,/mɛʎo/,I hope you are better.,Spero che tu stia meglio.,/spero ke tʊ stia mɛʎo./,A1,Social,"A1,Social",
between,tra,/tra/,What malice was between you?,Quale malizia c'era tra voi?,/kwale malitsia tʃɛra tra voi?/,A1,Grammar,"A1,Grammar",
bicycle,bicicletta,/bitʃikletːa/,"Besides that, there was quite a heap of bicycles.","Inoltre, c'era un bel mucchio di biciclette.","/inoltre, tʃɛra ʊn bɛl mukːio dɪ bitʃikletːe./",A1,Shopping,"A1,Shopping",
big,grande,/ɡrande/,Was he as big as this?,Era così grande?,/ɛra kozi ɡrande?/,A1,Grammar,"A1,Grammar",
bike,bicicletta,/bitʃikletːa/,Why did you steal the bike?,Perché hai rubato la bicicletta?,/perke aj rʊbato la bitʃikletːa?/,A1,Shopping,"A1,Shopping",
bill,disegno di legge,/dizeɲɲo dɪ ledʒːe/,"What do you mean, Bill?","Cosa vuoi dire, Bill?","/kɔza vʊɔi dire, bil?/",A1,Social,"A1,Social",
bird,uccello,/ʊtʃːɛllo/,"What is that, Sam?--A bird-fancier’s?","Che cos'è, Sam? Un uccellatore?","/ke kozɛ, sam? ʊn ʊtʃːellatore?/",A1,Social,"A1,Social",
birth,nascita,/naʃita/,For what does birth matter?,Che importanza ha la nascita?,/ke importantsa a la naʃita?/,A1,Social,"A1,Social",
birthday,compleanno,/kompleanno/,He’ll be eighty-two next birthday.,Il prossimo compleanno compirà ottantadue anni.,/il prɔssimo kompleanno kompiɾa otːantadue annɪ./,A1,Time & Quantity,"A1,Time & Quantity",
biscuit,biscotto,/biskɔtːo/,Such a filter is usually made of porcelain or biscuit china.,Questo tipo di filtro è solitamente realizzato in porcellana o biscuit china.,/kwesto tipo dɪ filtro e solitamente realidzːato in portʃellana o biskuit kina./,A1,Food,"A1,Food",
