English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
activity,attività,/atːivita/,Glasses were used with feverish activity.,Gli occhiali sono stati utilizzati con un'attività febbrile.,/ʎɪ okːjalɪ sono statɪ ʊtilidzːatɪ kon ʊnatːivita febːrile./,A1,Health,"A1,Health",
add,aggiungere,/adʒːundʒere/,Why do you add NaOH?,Perché si aggiunge NaOH?,/perke sɪ adʒːundʒe na oː?/,A1,Health,"A1,Health",
breathe,respirare,/respirare/,I can’t breathe where I am.,Non riesco a respirare dove sono.,/non riesko a respirare dove sono./,A1,Health,"A1,Health",
come,venire,/venire/,"You come on business, sir.","Lei è venuto per affari, signore.","/lɛi e venuto per affarɪ, siɲore./",A1,Health,"A1,Health",
event,evento,/evɛnto/,Here was an untoward event!,Ecco un evento spiacevole!,/ɛkːo ʊn evɛnto spjatʃevole!/,A1,Health,"A1,Health",
fever,febbre,/fɛbːre/,"Are those the fever-houses, Darby?","Sono queste le case della febbre, Darby?","/sono kweste le kaze della fɛbːre, darbɪ?/",A1,Health,"A1,Health",
haircut,taglio di capelli,/taʎo dɪ kapellɪ/,He gave him a haircut.,Gli ha tagliato i capelli.,/ʎɪ a taʎato i kapellɪ./,A1,Health,"A1,Health",
health,salute,/salute/,"Was she in health, sir?","Era in salute, signore?","/ɛra in salute, siɲore?/",A1,Health,"A1,Health",
hurry,fretta,/fretːa/,"And mind, don’t you hurry—come mighty slow.","E mi raccomando, non abbiate fretta, venite con calma.","/e mɪ rakːomando, non abːjate fretːa, venite kon kalma./",A1,Health,"A1,Health",
luck,fortuna,/fortuna/,That rebellion Had met ill luck?,Che la ribellione abbia incontrato sfortuna?,/ke la ribellione abːia inkontrato sfortuna?/,A1,Health,"A1,Health",
pollution,inquinamento,/inkwinamento/,His surname was derived from his pollution of his baptismal font.,Il suo cognome deriva dall'inquinamento del suo fonte battesimale.,/il sʊo koɲome deriva dallinkwinamento del sʊo fonte batːezimale./,A1,Health,"A1,Health",
say,dire,/dire/,"Rather, sir, I must say.","Piuttosto, signore, devo dire.","/pjʊtːɔsto, siɲore, dɛvo dire./",A1,Health,"A1,Health",
war,guerra,/ɡwɛrɾa/,Has he any unbraided wares?,Ha merce non intrecciata?,/a mɛrtʃe non intretʃːata?/,A1,Health,"A1,Health",
